seqnames,start,end,strand,gene_id,gene_name,gene_type,gene_name_orig
"chr21",15077174,15077839,"+","ENSG00000273692.1_5","AL050303.2","processed_pseudogene","AL050303.2"
"chr21",15095878,15134632,"+","ENSG00000278955.3_6","FP475955.1","lincRNA","FP475955.1"
"chr21",15134659,15136653,"+","ENSG00000229231.1_4","FEM1AP1","processed_pseudogene","FEM1AP1"
"chr21",15134660,15136649,"+","ENSG00000280172.1_5","FP475955.4","processed_pseudogene","FP475955.4"
"chr21",15142253,15144061,"+","ENSG00000224922.1_5","AL050303.1_2","lincRNA","AL050303.1"
"chr21",15142253,15144061,"+","ENSG00000279751.1_5","FP475955.2","lincRNA","FP475955.2"
"chr21",15148407,15149587,"+","ENSG00000173231.6_4","TERF1P1","processed_pseudogene","TERF1P1"
"chr21",15164956,15165462,"+","ENSG00000232797.1_4","FAM207CP","processed_pseudogene","FAM207CP"
"chr21",15196727,15197956,"-","ENSG00000224860.1_4","GXYLT1P2","processed_pseudogene","GXYLT1P2"
"chr21",15199017,15199948,"+","ENSG00000215562.2_4","CNN2P7","processed_pseudogene","CNN2P7"
"chr21",15211439,15211730,"+","ENSG00000234538.1_4","ZNF114P1","processed_pseudogene","ZNF114P1"
"chr21",15215454,15220685,"-","ENSG00000228314.1_4","CYP4F29P","transcribed_unprocessed_pseudogene","CYP4F29P"
"chr21",15278281,15278809,"-","ENSG00000230965.1_4","SNX18P13","processed_pseudogene","SNX18P13"
"chr21",15281895,15352758,"-","ENSG00000215559.8_4","ANKRD20A11P","transcribed_unprocessed_pseudogene","ANKRD20A11P"
"chr21",15309314,15309646,"-","ENSG00000203616.2_4","RHOT1P2","processed_pseudogene","RHOT1P2"
"chr21",15340810,15340916,"-","ENSG00000223287.1","RNU6-954P","snRNA","RNU6-954P"
"chr21",15357768,15357840,"+","ENSG00000266838.1","AP001634.1","miRNA","AP001634.1"
"chr21",15373248,15377600,"+","ENSG00000183249.8_2","NF1P3","unprocessed_pseudogene","NF1P3"
"chr21",15379455,15387201,"+","ENSG00000233442.2_4","PPP6R2P1","unprocessed_pseudogene","PPP6R2P1"
"chr21",15391381,15393046,"-","ENSG00000275170.1_4","FRG2MP","processed_pseudogene","FRG2MP"
"chr21",15399742,15516789,"+","ENSG00000224905.6_6","AP001347.1","antisense","AP001347.1"
"chr21",15436646,15441408,"+","ENSG00000249493.1_4","ANKRD20A18P","unprocessed_pseudogene","ANKRD20A18P"
"chr21",15443192,15443307,"+","ENSG00000201812.1","RNA5SP488","rRNA","RNA5SP488"
"chr21",15481134,15583212,"-","ENSG00000188992.11_3","LIPI","protein_coding","LIPI"
"chr21",15515902,15516479,"+","ENSG00000240755.1_4","ERLEC1P1","processed_pseudogene","ERLEC1P1"
"chr21",15588451,15600693,"+","ENSG00000185272.13_2","RBM11","protein_coding","RBM11"
"chr21",15608527,15735075,"+","ENSG00000243064.8_2","ABCC13","transcribed_unprocessed_pseudogene","ABCC13"
"chr21",15743436,15755805,"-","ENSG00000155304.5_2","HSPA13","protein_coding","HSPA13"
"chr21",15857549,16031142,"-","ENSG00000155307.18_3","SAMSN1","protein_coding","SAMSN1"
"chr21",15954523,15970624,"+","ENSG00000223662.1_5","SAMSN1-AS1","antisense","SAMSN1-AS1"
"chr21",16119083,16126184,"-","ENSG00000232884.7_5","AF127936.2","lincRNA","AF127936.2"
"chr21",16129909,16130673,"+","ENSG00000228600.1_5","POLR2CP1","processed_pseudogene","POLR2CP1"
"chr21",16134031,16135411,"-","ENSG00000226751.2_5","AF127936.1","lincRNA","AF127936.1"
"chr21",16146622,16147583,"+","ENSG00000225502.2_4","GAPDHP16","processed_pseudogene","GAPDHP16"
"chr21",16191164,16386751,"-","ENSG00000235609.7_6","AF127577.4","lincRNA","AF127577.4"
"chr21",16192020,16290873,"-","ENSG00000281903.2_6","LINC02246","lincRNA","LINC02246"
"chr21",16201475,16202310,"-","ENSG00000226406.1_4","RBMX2P1","processed_pseudogene","RBMX2P1"
"chr21",16290855,16319417,"+","ENSG00000235277.1_5","AF127577.3","antisense","AF127577.3"
"chr21",16333556,16438257,"-","ENSG00000180530.10_3","NRIP1","protein_coding","NRIP1"
"chr21",16333630,16336554,"+","ENSG00000229047.1_5","AF127577.1","antisense","AF127577.1"
"chr21",16343791,16365175,"+","ENSG00000231201.1_5","AF127577.2","antisense","AF127577.2"
"chr21",16422510,16424700,"+","ENSG00000279390.1_5","AF127577.6","TEC","AF127577.6"
"chr21",16439391,16440158,"+","ENSG00000236471.1_5","AF127577.5","lincRNA","AF127577.5"
"chr21",16718971,16719057,"+","ENSG00000280082.1_2","AF246928.1","TEC","AF246928.1"
"chr21",16742819,16999661,"-","ENSG00000229425.2_5","AJ009632.2","lincRNA","AJ009632.2"
"chr21",16862849,16863086,"-","ENSG00000224524.1_2","CYCSP42","processed_pseudogene","CYCSP42"
"chr21",16866251,16868443,"-","ENSG00000224247.1_5","AJ009632.1","lincRNA","AJ009632.1"
"chr21",16986602,16986708,"+","ENSG00000212564.1","RNU6-1326P","snRNA","RNU6-1326P"
"chr21",17065527,17065622,"+","ENSG00000221497.1","AL034449.1","miRNA","AL034449.1"
"chr21",17066619,17068900,"-","ENSG00000226298.1_5","RAD23BP3","processed_pseudogene","RAD23BP3"
"chr21",17080978,17081077,"+","ENSG00000238591.1","snoU13","snoRNA","snoU13"
"chr21",17102344,17252388,"+","ENSG00000155313.15_3","USP25","protein_coding","USP25"
"chr21",17116323,17117399,"-","ENSG00000234159.1_2","RBPMSLP","processed_pseudogene","RBPMSLP"
"chr21",17300616,18017384,"+","ENSG00000215386.12_4","MIR99AHG","lincRNA","MIR99AHG"
"chr21",17407733,17407829,"-","ENSG00000252273.1","RNU6-426P","snRNA","RNU6-426P"
"chr21",17466735,17467692,"-","ENSG00000214976.2_4","VDAC2P1","processed_pseudogene","VDAC2P1"
"chr21",17493630,17493964,"-","ENSG00000224602.1_4","RPS26P5","processed_pseudogene","RPS26P5"
"chr21",17657017,17657089,"-","ENSG00000201025.1","SNORD74","snoRNA","SNORD74"
"chr21",17664112,17680454,"-","ENSG00000270071.1_5","AP001172.1","lincRNA","AP001172.1"
"chr21",17789459,17791400,"-","ENSG00000270139.1_5","AP001172.2","lincRNA","AP001172.2"
"chr21",17911409,17911489,"+","ENSG00000207638.1","MIR99A","miRNA","MIR99A"
"chr21",17912143,17912236,"+","ENSG00000199030.1","MIRLET7C","miRNA","MIRLET7C"
"chr21",17947038,17954957,"-","ENSG00000269950.1_5","AP000962.1","lincRNA","AP000962.1"
"chr21",17962557,17962645,"+","ENSG00000207863.1","MIR125B2","miRNA","MIR125B2"
"chr21",18091317,18091476,"+","ENSG00000239023.1","RNU1-98P","snRNA","RNU1-98P"
"chr21",18126838,18188007,"-","ENSG00000237735.2_5","AF130359.1","lincRNA","AF130359.1"
"chr21",18235195,18246011,"-","ENSG00000232886.1_5","AF212831.1","lincRNA","AF212831.1"
"chr21",18582787,18583665,"-","ENSG00000225735.1_4","NEK4P1","processed_pseudogene","NEK4P1"
"chr21",18668538,18668915,"+","ENSG00000278181.1_5","AP000457.1","processed_pseudogene","AP000457.1"
"chr21",18803865,18803965,"+","ENSG00000252462.1","RNU6-113P","snRNA","RNU6-113P"
"chr21",18811208,18821503,"+","ENSG00000232560.6_4","LINC01549","lincRNA","LINC01549"
"chr21",18824999,18825052,"+","ENSG00000252613.1","RNU7-168P","snRNA","RNU7-168P"
"chr21",18872997,18873142,"-","ENSG00000226580.1_4","RPL39P40","processed_pseudogene","RPL39P40"
"chr21",18878771,18879044,"+","ENSG00000266195.1","RN7SL163P","misc_RNA","RN7SL163P"
"chr21",18884700,18965897,"+","ENSG00000154639.18_2","CXADR","protein_coding","CXADR"
"chr21",18890844,18891311,"-","ENSG00000232260.2_4","BTF3L4P1","processed_pseudogene","BTF3L4P1"
"chr21",18899458,18899565,"-","ENSG00000200754.1","Y_RNA","misc_RNA","Y_RNA"
"chr21",18949116,18949224,"+","ENSG00000199962.1","Y_RNA_2","misc_RNA","Y_RNA"
"chr21",18965971,18985265,"-","ENSG00000154640.14_3","BTG3","protein_coding","BTG3"
"chr21",18984062,19005517,"+","ENSG00000280594.1_3","BTG3-AS1","processed_transcript","BTG3-AS1"
"chr21",19031594,19032702,"-","ENSG00000226956.1_5","AP000432.1","lincRNA","AP000432.1"
"chr21",19135632,19164840,"-","ENSG00000240770.5_5","C21orf91-OT1","lincRNA","C21orf91-OT1"
"chr21",19161284,19191703,"-","ENSG00000154642.10_4","C21orf91","protein_coding","C21orf91"
"chr21",19165805,19183162,"+","ENSG00000244676.5_5","AL109761.1","antisense","AL109761.1"
"chr21",19207333,19257925,"-","ENSG00000231755.1_4","CHODL-AS1","lincRNA","CHODL-AS1"
"chr21",19264028,19264116,"+","ENSG00000221335.1","AP000745.1","miRNA","AP000745.1"
"chr21",19266510,19266802,"-","ENSG00000215369.3_2","RPL37P3","processed_pseudogene","RPL37P3"
"chr21",19273580,19639690,"+","ENSG00000154645.13_3","CHODL","protein_coding","CHODL"
"chr21",19394687,19487222,"-","ENSG00000227330.1_5","AF130417.1","lincRNA","AF130417.1"
"chr21",19641433,19858197,"-","ENSG00000154646.8_3","TMPRSS15","protein_coding","TMPRSS15"
"chr21",19849676,19858917,"-","ENSG00000228708.1_3","AL109763.1","sense_overlapping","AL109763.1"
"chr21",19933583,20132321,"-","ENSG00000224141.5_4","MIR548XHG","lincRNA","MIR548XHG"
"chr21",19986749,20022678,"+","ENSG00000230233.1_5","AF240627.1","lincRNA","AF240627.1"
"chr21",20058408,20058482,"-","ENSG00000265841.1","MIR548X","miRNA","MIR548X"
"chr21",20076689,20076772,"-","ENSG00000221041.2","AP001537.1","miRNA","AP001537.1"
"chr21",20230097,20230594,"+","ENSG00000198618.5_4","PPIAP22","processed_pseudogene","PPIAP22"
"chr21",20290252,20308177,"-","ENSG00000232193.1_5","AL157359.2","lincRNA","AL157359.2"
"chr21",20325582,20339376,"-","ENSG00000226204.1_5","AL157359.1","lincRNA","AL157359.1"
"chr21",20418629,20420003,"-","ENSG00000235965.2_5","AP000431.2","lincRNA","AP000431.2"
"chr21",20502841,20506741,"+","ENSG00000229289.1_5","AP000431.1","lincRNA","AP000431.1"
"chr21",20616860,20618709,"+","ENSG00000226818.1_4","SLC6A6P1","processed_pseudogene","SLC6A6P1"
"chr21",20673930,20676056,"+","ENSG00000231620.1_5","AP000855.1","lincRNA","AP000855.1"
"chr21",20717465,20717629,"+","ENSG00000212609.1","RNU1-139P","snRNA","RNU1-139P"
"chr21",20966155,20966422,"+","ENSG00000230198.1_2","RPL37P4","processed_pseudogene","RPL37P4"
"chr21",20993009,20993859,"+","ENSG00000271486.1_5","AP000403.1","processed_pseudogene","AP000403.1"
"chr21",21112023,21112464,"+","ENSG00000229336.1_5","AP000568.1","processed_pseudogene","AP000568.1"
"chr21",21131673,21132442,"-","ENSG00000215353.2_4","C1QBPP1","processed_pseudogene","C1QBPP1"
"chr21",21265593,21272069,"-","ENSG00000233480.1_4","LINC01683","lincRNA","LINC01683"
"chr21",21629065,21631133,"-","ENSG00000233236.1_3","LINC02573","lincRNA","LINC02573"
"chr21",21728060,21728164,"-","ENSG00000251851.1","RNU6-772P","snRNA","RNU6-772P"
"chr21",21728965,21729208,"+","ENSG00000252963.1","RN7SKP147","misc_RNA","RN7SKP147"
"chr21",21760646,21761157,"+","ENSG00000233676.2_4","FDPSP6","processed_pseudogene","FDPSP6"
"chr21",21797261,21798518,"-","ENSG00000234439.1_2","KRT18P2","processed_pseudogene","KRT18P2"
"chr21",21802755,21803074,"-","ENSG00000233206.1_2","RPS3AP1","processed_pseudogene","RPS3AP1"
"chr21",21970266,21970476,"+","ENSG00000276738.1_2","AP001506.1","processed_pseudogene","AP001506.1"
"chr21",22114908,22175534,"-","ENSG00000224924.6_4","LINC00320","lincRNA","LINC00320"
"chr21",22200445,22200940,"-","ENSG00000215351.3_4","PPIAP1","processed_pseudogene","PPIAP1"
"chr21",22370633,22915650,"+","ENSG00000154654.14_3","NCAM2","protein_coding","NCAM2"
"chr21",22595616,22599150,"-","ENSG00000226771.1_5","AP001136.1","antisense","AP001136.1"
"chr21",22770068,22770146,"-","ENSG00000221210.1","AP001137.1","miRNA","AP001137.1"
"chr21",22939084,22987758,"+","ENSG00000234730.1_5","AP001117.1","lincRNA","AP001117.1"
"chr21",23006773,23007049,"-","ENSG00000198434.1","AF241725.1","pseudogene","AF241725.1"
"chr21",23027359,23058649,"-","ENSG00000237527.1_5","AF241725.1_2","lincRNA","AF241725.1"
"chr21",23095613,23109639,"-","ENSG00000238265.1_4","LINC00317","lincRNA","LINC00317"
"chr21",23119293,23169735,"+","ENSG00000233997.5_4","LINC01425","lincRNA","LINC01425"
"chr21",23305635,23348000,"-","ENSG00000227075.1_5","AP000472.1","lincRNA","AP000472.1"
"chr21",23381263,23470778,"-","ENSG00000233215.5_4","LINC01687","lincRNA","LINC01687"
"chr21",23470936,23488847,"+","ENSG00000184856.6_4","LINC00308","lincRNA","LINC00308"
"chr21",23507018,23508403,"-","ENSG00000234340.1_5","AP000705.2","processed_pseudogene","AP000705.2"
"chr21",23526270,23526619,"-","ENSG00000231136.1_5","AP000705.1","processed_pseudogene","AP000705.1"
"chr21",23577511,23577651,"+","ENSG00000202339.1","RNU4-45P","snRNA","RNU4-45P"
"chr21",23582258,23793139,"+","ENSG00000226043.1_5","AP000561.1","lincRNA","AP000561.1"
"chr21",23808610,23810669,"-","ENSG00000223488.2_3","MAPK6P2","processed_pseudogene","MAPK6P2"
"chr21",23872924,23892377,"-","ENSG00000234034.1_5","AP000959.1","lincRNA","AP000959.1"
"chr21",24052992,24053286,"+","ENSG00000263796.1","RN7SL609P","misc_RNA","RN7SL609P"
"chr21",24254903,24256321,"+","ENSG00000225906.1_2","AP000949.1","processed_pseudogene","AP000949.1"
"chr21",24437813,24503528,"+","ENSG00000230972.1_6","AP001116.1","lincRNA","AP001116.1"
"chr21",24462350,24464153,"-","ENSG00000219368.3_2","ZNF299P","processed_pseudogene","ZNF299P"
"chr21",24473545,24475396,"+","ENSG00000231058.1_4","MSANTD2P1","processed_pseudogene","MSANTD2P1"
"chr21",24654058,24654231,"-","ENSG00000223078.1","RNU2-55P","snRNA","RNU2-55P"
"chr21",24733426,24757182,"-","ENSG00000228592.1_4","D21S2088E","lincRNA","D21S2088E"
"chr21",24762579,24763317,"+","ENSG00000223822.2_4","EEF1A1P1","processed_pseudogene","EEF1A1P1"
"chr21",24779978,24781448,"-","ENSG00000237569.1_2","TUBAP","processed_pseudogene","TUBAP"
"chr21",24804501,24804602,"-","ENSG00000199698.1","Y_RNA_3","misc_RNA","Y_RNA"
"chr21",24849960,24863043,"+","ENSG00000227716.1_5","AP000459.1","lincRNA","AP000459.1"
"chr21",25261114,25262857,"-","ENSG00000231986.1_2","AP000474.1","lincRNA","AP000474.1"
"chr21",25333220,25339588,"-","ENSG00000235564.1_2","AP000477.2","lincRNA","AP000477.2"
"chr21",25415572,25422601,"+","ENSG00000226996.5_5","AP000477.1","lincRNA","AP000477.1"
"chr21",25527484,25560655,"-","ENSG00000224018.1_5","AP000470.1","lincRNA","AP000470.1"
"chr21",25676859,25693690,"-","ENSG00000224832.2_4","LINC01689","lincRNA","LINC01689"
"chr21",25801054,25920256,"+","ENSG00000237484.5_4","LINC01684","lincRNA","LINC01684"
"chr21",26212864,26430059,"+","ENSG00000226983.2_5","LINC01692","lincRNA","LINC01692"
"chr21",26258990,26275070,"-","ENSG00000227090.1_5","AP000402.1","lincRNA","AP000402.1"
"chr21",26310745,26365129,"-","ENSG00000230379.5_5","AP000146.1","lincRNA","AP000146.1"
"chr21",26403318,26403842,"-","ENSG00000237444.1_2","AP001342.1","processed_pseudogene","AP001342.1"
"chr21",26427848,26442219,"+","ENSG00000244278.1_6","AP000235.1","lincRNA","AP000235.1"
"chr21",26467335,26475983,"+","ENSG00000232512.6_3","AP000233.2","lincRNA","AP000233.2"
"chr21",26499782,26507561,"+","ENSG00000223870.1_5","AP000233.1","lincRNA","AP000233.1"
"chr21",26541745,26706139,"-","ENSG00000222042.1_5","AP001341.1","lincRNA","AP001341.1"
"chr21",26574521,26574629,"+","ENSG00000238627.1","RNA5SP489","rRNA","RNA5SP489"
"chr21",26711319,26711413,"+","ENSG00000238660.1","AP001340.1","miRNA","AP001340.1"
"chr21",26734135,26734745,"+","ENSG00000213885.3_4","RPL13AP7","processed_pseudogene","RPL13AP7"
"chr21",26744141,26744357,"+","ENSG00000279534.1_5","AP001340.1_2","TEC","AP001340.1"
"chr21",26758133,26804013,"-","ENSG00000185433.8_3","LINC00158","lincRNA","LINC00158"
"chr21",26842421,26842513,"-","ENSG00000238314.1","snoU13_2","snoRNA","snoU13"
"chr21",26887785,26890650,"-","ENSG00000229962.1_2","AP000221.1","lincRNA","AP000221.1"
"chr21",26934221,26947480,"+","ENSG00000234883.5_3","MIR155HG","lincRNA","MIR155HG"
"chr21",26955082,26955638,"-","ENSG00000260583.1_5","LINC00515","antisense","LINC00515"
"chr21",26957968,26979829,"-","ENSG00000154719.13_4","MRPL39","protein_coding","MRPL39"
"chr21",27011584,27089874,"+","ENSG00000154721.14_5","JAM2","protein_coding","JAM2"
"chr21",27015801,27016528,"+","ENSG00000237731.1_4","RNGTTP1","processed_pseudogene","RNGTTP1"
"chr21",27064492,27064866,"+","ENSG00000227054.1_4","FDX1P2","processed_pseudogene","FDX1P2"
"chr21",27088815,27107984,"-","ENSG00000154723.12_4","ATP5PF","protein_coding","ATP5PF"
"chr21",27106881,27144771,"+","ENSG00000154727.10_2","GABPA","protein_coding","GABPA"
"chr21",27135249,27135644,"-","ENSG00000235514.1_4","LLPHP2","processed_pseudogene","LLPHP2"
"chr21",27252861,27543446,"-","ENSG00000142192.20_5","APP","protein_coding","APP"
"chr21",27301066,27315001,"+","ENSG00000233783.7_5","AP001442.1","processed_transcript","AP001442.1"
"chr21",27315359,27315460,"-","ENSG00000251972.1","RNU6-123P","snRNA","RNU6-123P"
"chr21",27530409,27548142,"+","ENSG00000224541.1_6","AP001439.1","antisense","AP001439.1"
"chr21",27543189,27589700,"+","ENSG00000273492.5_6","AP000229.1","lincRNA","AP000229.1"
"chr21",27563026,27563132,"+","ENSG00000206802.1","RNU6-926P","snRNA","RNU6-926P"
"chr21",27722099,27722953,"-","ENSG00000229025.1_2","AP001595.1","lincRNA","AP001595.1"
"chr21",27750871,27844017,"+","ENSG00000232692.1_6","AP001596.1","antisense","AP001596.1"
"chr21",27765954,27941571,"+","ENSG00000197934.8_6","CYYR1-AS1","antisense","CYYR1-AS1"
"chr21",27832222,27832533,"-","ENSG00000273115.1_5","AP001596.2","lincRNA","AP001596.2"
"chr21",27838528,27945603,"-","ENSG00000166265.11_2","CYYR1","protein_coding","CYYR1"
"chr21",28208066,28217728,"-","ENSG00000154734.14_5","ADAMTS1","protein_coding","ADAMTS1"
"chr21",28261695,28312061,"+","ENSG00000223563.1_5","AP001599.1","antisense","AP001599.1"
"chr21",28290231,28338832,"-","ENSG00000154736.5_3","ADAMTS5","protein_coding","ADAMTS5"
"chr21",28326280,28326362,"+","ENSG00000266133.1","MIR4759","miRNA","MIR4759"
"chr21",28515663,28516268,"-","ENSG00000215326.3_4","GPX1P2","processed_pseudogene","GPX1P2"
"chr21",28731204,28820898,"-","ENSG00000231236.2_6","AP001605.1","lincRNA","AP001605.1"
"chr21",28733483,28768106,"+","ENSG00000236332.1_5","AP001604.1","lincRNA","AP001604.1"
"chr21",28739333,28740266,"-","ENSG00000233300.1_4","EIF4A1P1","processed_pseudogene","EIF4A1P1"
"chr21",28792699,28793342,"-","ENSG00000217026.3_2","RPL10P1","processed_pseudogene","RPL10P1"
"chr21",28864437,28864580,"+","ENSG00000219592.2_4","NCSTNP1","processed_pseudogene","NCSTNP1"
"chr21",29011012,29025810,"+","ENSG00000234052.1_4","LINC01673","lincRNA","LINC01673"
"chr21",29094698,29123552,"+","ENSG00000225298.5_4","LINC00113","lincRNA","LINC00113"
"chr21",29327240,29357614,"+","ENSG00000234083.1_5","AJ006995.1","lincRNA","AJ006995.1"
"chr21",29385682,29395552,"+","ENSG00000178457.3_2","LINC00314","lincRNA","LINC00314"
"chr21",29420723,29509930,"+","ENSG00000232079.6_4","LINC01697","processed_transcript","LINC01697"
"chr21",29488413,29600986,"-","ENSG00000236532.5_4","LINC01695","lincRNA","LINC01695"
"chr21",29811667,30047170,"-","ENSG00000232855.6_6","AF165147.1","lincRNA","AF165147.1"
"chr21",29911640,29912677,"+","ENSG00000226935.6_4","LINC00161","lincRNA","LINC00161"
"chr21",30115530,30115613,"+","ENSG00000251894.1","RNU6-872P","snRNA","RNU6-872P"
"chr21",30244513,30257693,"-","ENSG00000156239.11_3","N6AMT1","protein_coding","N6AMT1"
