chromosome	start	end	gene	minCopyNumber	maxCopyNumber	somaticRegions	transcriptId	isCanonical	chromosomeBand	minRegions	minRegionStart	minRegionEnd	minRegionStartSupport	minRegionEndSupport	minRegionMethod	minMinorAlleleCopyNumber	depthWindowCount	gcContent
chr1	629640	630683	MTND2P28	1.9739	1.9739	1	ENST00000457540	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	631074	632616	MTCO1P12	1.9739	1.9739	1	ENST00000414273	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	632757	633438	MTCO2P12	1.9739	1.9739	1	ENST00000427426	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	633535	633741	MTATP8P1	1.9739	1.9739	1	ENST00000467115	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	633696	634376	MTATP6P1	1.9739	1.9739	1	ENST00000514057	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	634376	634922	MTCO3P12	1.9739	1.9739	1	ENST00000416718	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	674842	675265	WBP1LP6	1.9739	1.9739	1	ENST00000438434	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	685716	686654	OR4F16	1.9739	1.9739	1	ENST00000332831	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	722092	724903	CICP3	1.9739	1.9739	1	ENST00000440782	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	758233	758336	RNU6-1199P	1.9739	1.9739	1	ENST00000411249	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	778747	810065	LINC01409	1.9739	1.9739	1	ENST00000412115	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	817371	819837	FAM87B	1.9739	1.9739	1	ENST00000326734	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	824228	827539	LINC00115	1.9739	1.9739	1	ENST00000473798	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	825138	859446	LINC01128	1.9739	1.9739	1	ENST00000445118	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	868071	876903	FAM41C	1.9739	1.9739	1	ENST00000446136	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	873292	874349	TUBB8P11	1.9739	1.9739	1	ENST00000415481	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	916865	921016	LINC02593	1.9739	1.9739	1	ENST00000417705	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	923923	944575	SAMD11	1.9739	1.9739	1	ENST00000616016	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	944203	959309	NOC2L	1.9739	1.9739	1	ENST00000327044	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	960584	965719	KLHL17	1.9739	1.9739	1	ENST00000338591	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	966482	975865	PLEKHN1	1.9739	1.9739	1	ENST00000379410	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	975198	982117	PERM1	1.9739	1.9739	1	ENST00000433179	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	998962	1000172	HES4	1.9739	1.9739	1	ENST00000304952	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	1001138	1014540	ISG15	1.9739	1.9739	1	ENST00000649529	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	1020120	1056118	AGRN	1.9739	1.9739	1	ENST00000379370	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	1070967	1074306	RNF223	1.9739	1.9739	1	ENST00000453464	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	1081818	1116361	C1orf159	1.9739	1.9739	1	ENST00000421241	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	1137017	1144056	LINC01342	1.9739	1.9739	1	ENST00000416774	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	1167104	1167198	MIR200B	1.9739	1.9739	1	ENST00000384997	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	1167863	1167952	MIR200A	1.9739	1.9739	1	ENST00000384875	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	1169005	1169087	MIR429	1.9739	1.9739	1	ENST00000362106	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	1173056	1179555	TTLL10-AS1	1.9739	1.9739	1	ENST00000379317	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	1173880	1197936	TTLL10	1.9739	1.9739	1	ENST00000379289	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	1203508	1206592	TNFRSF18	1.9739	1.9739	1	ENST00000379268	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	1211326	1214153	TNFRSF4	1.9739	1.9739	1	ENST00000379236	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	1216931	1232031	SDF4	1.9739	1.9739	1	ENST00000360001	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	1232237	1235041	B3GALT6	1.9739	1.9739	1	ENST00000379198	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	1242446	1246722	C1QTNF12	1.9739	1.9739	1	ENST00000330388	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	1253909	1273864	UBE2J2	1.9739	1.9739	1	ENST00000349431	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	1275223	1280420	LINC01786	1.9739	1.9739	1	ENST00000434139	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	1280436	1292029	SCNN1D	1.9739	1.9739	1	ENST00000379116	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	1292390	1309609	ACAP3	1.9739	1.9739	1	ENST00000354700	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	1296110	1296170	MIR6726	1.9739	1.9739	1	ENST00000613751	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	1308597	1311677	PUSL1	1.9739	1.9739	1	ENST00000379031	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	1311585	1324687	INTS11	1.9739	1.9739	1	ENST00000435064	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	1312502	1312566	MIR6727	1.9739	1.9739	1	ENST00000620702	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	1324756	1328896	CPTP	1.9739	1.9739	1	ENST00000343938	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	1331280	1335314	TAS1R3	1.9739	1.9739	1	ENST00000339381	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	1335276	1349418	DVL1	1.9739	1.9739	1	ENST00000378888	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	1339650	1339708	MIR6808	1.9739	1.9739	1	ENST00000616525	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	1352689	1361777	MXRA8	1.9739	1.9739	1	ENST00000309212	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	1373730	1375207	AURKAIP1	1.9739	1.9739	1	ENST00000338338	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	1378666	1379032	NDUFB4P8	1.9739	1.9739	1	ENST00000435351	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	1385711	1399335	CCNL2	1.9739	1.9739	1	ENST00000400809	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	1399515	1402046	MRPL20-AS1	1.9739	1.9739	1	ENST00000448629	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	1401909	1407293	MRPL20	1.9739	1.9739	1	ENST00000344843	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	1405460	1405752	RN7SL657P	1.9739	1.9739	1	ENST00000582431	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	1409096	1410618	MRPL20-DT	1.9739	1.9739	1	ENST00000607307	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	1418420	1421769	ANKRD65	1.9739	1.9739	1	ENST00000537107	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	1425871	1430255	TMEM88B	1.9739	1.9739	1	ENST00000378821	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	1430539	1434573	LINC01770	1.9739	1.9739	1	ENST00000430109	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	1434861	1442882	VWA1	1.9739	1.9739	1	ENST00000476993	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	1449689	1470163	ATAD3C	1.9739	1.9739	1	ENST00000378785	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	1471765	1497848	ATAD3B	1.9739	1.9739	1	ENST00000673477	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	1512162	1534685	ATAD3A	1.9739	1.9739	1	ENST00000378756	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	1534778	1540624	TMEM240	1.9739	1.9739	1	ENST00000378733	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	1541673	1574863	SSU72	1.9739	1.9739	1	ENST00000291386	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	1598012	1600135	FNDC10	1.9739	1.9739	1	ENST00000422725	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	1615454	1630605	MIB2	1.9739	1.9739	1	ENST00000355826	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	1632163	1635263	MMP23B	1.9739	1.9739	1	ENST00000356026	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	1635225	1659012	CDK11B	1.9739	1.9739	1	ENST00000341832	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	1659529	1692795	SLC35E2B	1.9739	1.9739	1	ENST00000617444	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	1699942	1701782	MMP23A	1.9739	1.9739	1	ENST00000234610	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	1702379	1724357	CDK11A	1.9739	1.9739	1	ENST00000404249	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	1734690	1739557	SLC35E2A	1.9739	1.9739	1	ENST00000643943	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	1751232	1780457	NADK	1.9739	1.9739	1	ENST00000341426	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	1785285	1892292	GNB1	1.9739	1.9739	1	ENST00000378609	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	1915108	1917296	CALML6	1.9739	1.9739	1	ENST00000307786	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	1917590	1919279	TMEM52	1.9739	1.9739	1	ENST00000310991	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	1921951	2003837	CFAP74	1.9739	1.9739	1	ENST00000682832	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	2019329	2030758	GABRD	1.9739	1.9739	1	ENST00000378585	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	2050411	2185395	PRKCZ	1.9739	1.9739	1	ENST00000378567	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	2181794	2184389	PRKCZ-AS1	1.9739	1.9739	1	ENST00000333854	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	2184461	2212720	FAAP20	1.9739	1.9739	1	ENST00000378546	true	p36.33	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	2227388	2310213	SKI	1.9739	1.9739	1	ENST00000378536	true	p36.32	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	2321253	2391707	MORN1	1.9739	1.9739	1	ENST00000378531	true	p36.32	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	2391775	2405442	RER1	1.9739	1.9739	1	ENST00000605895	true	p36.32	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	2403964	2413797	PEX10	1.9739	1.9739	1	ENST00000447513	true	p36.32	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	2425980	2505532	PLCH2	1.9739	1.9739	1	ENST00000378486	true	p36.32	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	2508537	2526597	PANK4	1.9739	1.9739	1	ENST00000378466	true	p36.32	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	2528745	2530263	HES5	1.9739	1.9739	1	ENST00000378453	true	p36.32	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	2549920	2557031	TNFRSF14-AS1	1.9739	1.9739	1	ENST00000416860	true	p36.32	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	2555639	2565382	TNFRSF14	1.9739	1.9739	1	ENST00000355716	true	p36.32	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	2586491	2591469	PRXL2B	1.9739	1.9739	1	ENST00000419916	true	p36.32	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	2590639	2633016	MMEL1	1.9739	1.9739	1	ENST00000378412	true	p36.32	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	2632568	2636620	MMEL1-AS1	1.9739	1.9739	1	ENST00000427302	true	p36.32	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	2636986	2801693	TTC34	1.9739	1.9739	1	ENST00000401095	true	p36.32	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	3021467	3022903	ACTRT2	1.9739	1.9739	1	ENST00000378404	true	p36.32	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	3059611	3069091	PRDM16-DT	1.9739	1.9739	1	ENST00000687743	true	p36.32	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	3069168	3438621	PRDM16	1.9739	1.9739	1	ENST00000270722	true	p36.32	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	3127975	3128035	MIR4251	1.9739	1.9739	1	ENST00000635819	true	p36.32	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	3454665	3481113	ARHGEF16	1.9739	1.9739	1	ENST00000378378	true	p36.32	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	3487951	3611508	MEGF6	1.9739	1.9739	1	ENST00000356575	true	p36.32	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	3560695	3560790	MIR551A	1.9739	1.9739	1	ENST00000385042	true	p36.32	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	3625015	3630127	TPRG1L	1.9739	1.9739	1	ENST00000378344	true	p36.32	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	3630767	3652761	WRAP73	1.9739	1.9739	1	ENST00000270708	true	p36.32	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	3652516	3736201	TP73	1.9739	1.9739	1	ENST00000378295	true	p36.32	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	3658938	3668772	TP73-AS3	1.9739	1.9739	1	ENST00000443034	true	p36.32	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	3712200	3714298	TP73-AS2	1.9739	1.9739	1	ENST00000416554	true	p36.32	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	3735511	3747373	TP73-AS1	1.9739	1.9739	1	ENST00000452079	true	p36.32	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	3746460	3771645	CCDC27	1.9739	1.9739	1	ENST00000294600	true	p36.32	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	3772749	3775982	SMIM1	1.9739	1.9739	1	ENST00000642557	true	p36.32	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	3778559	3796498	LRRC47	1.9739	1.9739	1	ENST00000378251	true	p36.32	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	3782815	3783111	RN7SL574P	1.9739	1.9739	1	ENST00000581512	true	p36.32	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	3812086	3857396	CEP104	1.9739	1.9739	1	ENST00000378230	true	p36.32	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	3857267	3885429	DFFB	1.9739	1.9739	1	ENST00000378209	true	p36.32	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	3889125	3900293	C1orf174	1.9739	1.9739	1	ENST00000361605	true	p36.32	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	3900347	3917225	LINC01134	1.9739	1.9739	1	ENST00000442673	true	p36.32	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	3940486	3955262	LINC01346	1.9739	1.9739	1	ENST00000412674	true	p36.32	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	3944547	3949024	LINC01345	1.9739	1.9739	1	ENST00000635247	true	p36.32	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	3976133	4012704	LINC02780	1.9739	1.9739	1	ENST00000642026	true	p36.32	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	4175528	4175899	EEF1DP6	1.9739	1.9739	1	ENST00000449232	true	p36.32	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	4412027	4424689	LINC01777	1.9739	1.9739	1	ENST00000635002	true	p36.32	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	4571481	4594016	LINC01646	1.9739	1.9739	1	ENST00000634256	true	p36.32	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	4654609	4792534	AJAP1	1.9739	1.9739	1	ENST00000378191	true	p36.32	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	4973381	4981568	LINC02781	1.9739	1.9739	1	ENST00000641403	true	p36.32	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	5086459	5090899	LINC02782	1.9739	1.9739	1	ENST00000443270	true	p36.32	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	5862672	5862741	MIR4689	1.9739	1.9739	1	ENST00000582517	true	p36.31	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	5862811	5992473	NPHP4	1.9739	1.9739	1	ENST00000378156	true	p36.31	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
chr1	5990927	6101193	KCNAB2	1.9739	1.9739	1	ENST00000378083	true	p36.31	1	1	123605522	TELOMERE	CENTROMERE	BAF_WEIGHTED	0.9658	69	0.4054
