chromosome	start	end	copyNumber	bafCount	observedBAF	baf	segmentStartSupport	segmentEndSupport	method	depthWindowCount	gcContent	minStart	maxStart	minorAlleleCopyNumber	majorAlleleCopyNumber
chr9	20414427	20415000	1.0106	0	0.0000	0.9627	BND	BND	STRUCTURAL_VARIANT	0	0.0000	20414427	20414427	0.0377	0.9729
chr9	20415001	44377362	1.9653	1	0.5161	0.5054	BND	CENTROMERE	BAF_WEIGHTED	3	0.3633	20415001	20415001	0.9720	0.9933
chr9	44377363	138394717	1.9578	39	0.5166	0.5098	CENTROMERE	TELOMERE	BAF_WEIGHTED	80	0.4218	44377363	44377363	0.9598	0.9981
chr10	1	40640101	2.0005	12	0.5100	0.5053	TELOMERE	CENTROMERE	BAF_WEIGHTED	29	0.4178	1	1	0.9897	1.0107
chr10	40640102	133797422	1.9769	38	0.5256	0.5085	CENTROMERE	TELOMERE	BAF_WEIGHTED	76	0.4383	40640102	40640102	0.9716	1.0053
chr11	1	52751710	1.9832	28	0.5193	0.5111	TELOMERE	CENTROMERE	BAF_WEIGHTED	58	0.3976	1	1	0.9696	1.0136
chr11	52751711	118484974	1.9646	10	0.5184	0.5091	CENTROMERE	BND	BAF_WEIGHTED	27	0.4176	52751711	52751711	0.9644	1.0002
chr11	118484975	118485000	1.0077	0	0.0000	0.9570	BND	BND	STRUCTURAL_VARIANT	0	0.0000	118484975	118484975	0.0433	0.9644
chr11	118485001	135086622	1.9476	8	0.5172	0.5134	BND	TELOMERE	BAF_WEIGHTED	15	0.4537	118485001	118485001	0.9476	1.0000
chr12	1	35977329	2.0000	20	0.5217	0.5102	TELOMERE	CENTROMERE	BAF_WEIGHTED	46	0.3932	1	1	0.9796	1.0204
chr12	35977330	133275309	1.9562	27	0.5190	0.5100	CENTROMERE	TELOMERE	BAF_WEIGHTED	63	0.4224	35977330	35977330	0.9585	0.9977
chr13	1	17025623	1.9797	0	0.0000	0.5079	TELOMERE	CENTROMERE	LONG_ARM	0	0.0000	1	1	0.9741	1.0056
chr13	17025624	114364328	1.9797	49	0.5204	0.5079	CENTROMERE	TELOMERE	BAF_WEIGHTED	113	0.3860	17025624	17025624	0.9741	1.0056
chr14	1	17086761	1.9758	0	0.0000	0.5096	TELOMERE	CENTROMERE	LONG_ARM	0	0.0000	1	1	0.9690	1.0068
chr14	17086762	107043718	1.9758	48	0.5206	0.5096	CENTROMERE	TELOMERE	BAF_WEIGHTED	101	0.3752	17086762	17086762	0.9690	1.0068
chr15	1	18362626	1.9631	0	0.0000	0.5104	TELOMERE	CENTROMERE	LONG_ARM	0	0.0000	1	1	0.9611	1.0020
chr15	18362627	101991189	1.9631	50	0.5214	0.5104	CENTROMERE	TELOMERE	BAF_WEIGHTED	108	0.4247	18362627	18362627	0.9611	1.0020
chr16	1	37295919	1.9665	33	0.5141	0.5073	TELOMERE	CENTROMERE	BAF_WEIGHTED	76	0.4418	1	1	0.9689	0.9977
chr16	37295920	90338345	1.9551	10	0.5195	0.5108	CENTROMERE	TELOMERE	BAF_WEIGHTED	32	0.4252	37295920	37295920	0.9565	0.9986
chr17	1	24849829	1.9808	14	0.5312	0.5070	TELOMERE	CENTROMERE	BAF_WEIGHTED	33	0.4941	1	1	0.9765	1.0043
chr17	24849830	83257441	1.9783	34	0.5230	0.5130	CENTROMERE	TELOMERE	BAF_WEIGHTED	79	0.4526	24849830	24849830	0.9635	1.0149
chr18	1	18161052	2.0085	5	0.5167	0.5030	TELOMERE	CENTROMERE	BAF_WEIGHTED	10	0.3843	1	1	0.9983	1.0102
chr18	18161053	80373285	1.9786	42	0.5175	0.5115	CENTROMERE	TELOMERE	BAF_WEIGHTED	88	0.3749	18161053	18161053	0.9666	1.0120
chr19	1	25844926	1.9798	31	0.5172	0.5080	TELOMERE	CENTROMERE	BAF_WEIGHTED	56	0.4683	1	1	0.9740	1.0058
chr19	25844927	29815664	1.9615	0	0.0000	0.5007	CENTROMERE	MULTIPLE	BAF_WEIGHTED	1	0.3940	25844927	25844927	0.9794	0.9822
chr19	29815665	58617616	1.9890	16	0.5346	0.5062	MULTIPLE	TELOMERE	BAF_WEIGHTED	49	0.4666	29815665	29815665	0.9822	1.0069
chr20	1	28237289	1.9789	35	0.5208	0.5091	TELOMERE	CENTROMERE	BAF_WEIGHTED	79	0.4149	1	1	0.9714	1.0075
chr20	28237290	64444167	1.9886	10	0.5235	0.5097	CENTROMERE	TELOMERE	BAF_WEIGHTED	27	0.4246	28237290	28237290	0.9750	1.0137
chr21	1	11890183	1.9758	0	0.0000	0.5051	TELOMERE	CENTROMERE	LONG_ARM	0	0.0000	1	1	0.9779	0.9979
chr21	11890184	46709983	1.9758	49	0.5154	0.5051	CENTROMERE	TELOMERE	BAF_WEIGHTED	99	0.4272	11890184	11890184	0.9779	0.9979
chr22	1	14004552	1.9555	0	0.0000	0.5107	TELOMERE	CENTROMERE	LONG_ARM	0	0.0000	1	1	0.9568	0.9987
chr22	14004553	50818468	1.9555	37	0.5252	0.5107	CENTROMERE	TELOMERE	BAF_WEIGHTED	75	0.4618	14004553	14004553	0.9568	0.9987
chrX	1	60509060	2.0022	28	0.5168	0.5047	TELOMERE	CENTROMERE	BAF_WEIGHTED	52	0.4237	1	1	0.9917	1.0105
chrX	60509061	156040895	1.9805	21	0.5233	0.5115	CENTROMERE	TELOMERE	BAF_WEIGHTED	48	0.3656	60509061	60509061	0.9675	1.0130
