HG2412_PATCH	NW_019805502.1
MU273375.1	chr15_MU273375v1_alt
KI270302.1	chrUn_KI270302v1
8	NC_000008.11
KI270582.1	NT_187454.1
KI270831.1	chr11_KI270831v1_alt
KZ208915.1	NW_018654717.1
HG1398_PATCH	chr12_ML143362v1_fix
HSCHR1_2_CTG3	NT_187517.1
KN538370.1	NW_011332697.1
GJ211933.1	NT_187217.1
KI270911.1	NT_187666.1
HSCHR2_8_CTG7_2	NW_018654710.1
HSCHR4_6_CTG12	chr4_KI270896v1_alt
HSCHR18_ALT21_CTG2_1	NT_187665.1
HSCHR1_5_CTG32_1	chr1_KQ458384v1_alt
HSCHR5_4_CTG1_1	chr5_KI270796v1_alt
GL383530.1	NW_003315918.1
NT_187402.1	chrUn_KI270310v1
HSCHR20_1_CTG4	NT_187625.1
GL383547.1	chr11_GL383547v1_alt
KB663609.1	chr22_KB663609v1_alt
HSCHR15_9_CTG8	MU273375.1
NT_187655.1	chr8_KI270901v1_alt
NW_013171808.1	chr11_KQ090022v1_fix
KI270508.1	NT_187430.1
GL000093.2	NT_008705.17
KI270337.1	NT_187466.1
KI270783.1	NT_187535.1
KI270776.1	NT_187527.1
GL383553.2	HSCHR12_3_CTG2_1
HSCHR19KIR_T7526_A_HAP_CTG3_1	NT_187669.1
HSCHR19KIR_G248_BA2_HAP_CTG3_1	NT_187640.1
NW_025791792.1	chr11_MU273369v1_fix
KI270764.1	chr1_KI270764v1_alt
HG2069_PATCH	chr3_MU273348v1_fix
KI270587.1	chrUn_KI270587v1
ML143357.1	chr11_ML143357v1_fix
KI270832.1	NT_187586.1
CM000672.2	NC_000010.11
KI270757.1	chrUn_KI270757v1
HSCHR22_1_CTG5	chr22_KI270877v1_alt
KI270848.1	chr15_KI270848v1_alt
KI270799.1	chr6_KI270799v1_alt
NW_018654709.1	chr2_KZ208907v1_alt
GL383580.2	chr21_GL383580v2_alt
6	chr6
KI270322.1	chrUn_KI270322v1
HSCHR10_1_CTG6	KQ090020.1
KI270795.1	chr5_KI270795v1_alt
KI270579.1	NT_187450.1
NT_187536.1	chr3_KI270778v1_alt
HSCHR22_1_CTG7	KI270879.1
HG460_PATCH	chr1_KZ559100v1_fix
NT_187563.1	chr7_KI270807v1_alt
KQ090027.1	chr16_KQ090027v1_alt
HSCHR19KIR_T7526_BDEL_HAP_CTG3_1	NT_187670.1
KI270914.1	chr19_KI270914v1_alt
HG1047_PATCH	NW_025791783.1
NT_187521.1	chr1_KI270764v1_alt
HSCHR11_2_CTG3_1	MU273368.1
NW_025791764.1	chr2_MU273341v1_fix
KI270858.1	NT_187615.1
KI270544.1	NT_187444.1
GL000195.1	chrUn_GL000195v1
HG2068_PATCH	NW_017852932.1
HG1466_PATCH	NW_021160031.1
GL383578.2	chr21_GL383578v2_alt
GL000250.2	NT_167244.2
KQ759760.1	chr12_KQ759760v1_fix
NW_003571033.2	chr2_GL582966v2_alt
HG152_PATCH	NW_025791792.1
KV575245.1	chr17_KV575245v1_fix
KI270465.1	NT_187422.1
KI270501.1	NT_187254.1
HG986_PATCH	chr1_KN196472v1_fix
NW_014040928.1	chr18_KQ458385v1_alt
MU273396.1	chrX_MU273396v1_alt
KI270861.1	chr17_KI270861v1_alt
GL000116.2	NT_026437.13
NT_187667.1	chrX_KI270913v1_alt
GL383532.1	HSCHR5_1_CTG1
KI270857.1	chr17_KI270857v1_alt
GL949750.2	HSCHR19LRC_LRC_S_CTG3_1
KI270753.1	NT_187508.1
GL000258.2	HSCHR17_1_CTG5
HSCHR17_8_CTG4	KI270858.1
HSCHR19KIR_GRC212_BA1_HAP_CTG3_1	NT_187642.1
NW_025791796.1	chr14_MU273373v1_fix
HSCHR5_2_CTG1	NW_003571036.1
HSCHR11_1_CTG3	KI270827.1
KI270771.1	NT_187530.1
12	chr12
HG2513_PATCH	ML143377.1
KI270926.1	NT_187680.1
HSCHR6_MHC_QBL_CTG1	NT_167248.2
HSCHR14_3_CTG1	NT_187600.1
GL949753.2	NW_003571061.2
HSCHR20_1_CTG1	chr20_GL383577v2_alt
HSCHR17_1_CTG5	NT_167251.2
HG2290_PATCH	KQ031384.1
HSCHR8_7_CTG1	chr8_KI270926v1_alt
KI270388.1	NT_187478.1
HSCHR11_3_CTG1	NT_187681.1
NW_003315970.2	chr21_GL383581v2_alt
MU273379.1	NW_025791802.1
MU273373.1	NW_025791796.1
NT_187460.1	chrUn_KI270334v1
KI270572.1	NT_187287.1
HG2087_PATCH	NW_021160020.1
HG1046_PATCH	NW_025791775.1
HG1299_PATCH	chr4_ML143346v1_fix
NT_187483.1	chrUn_KI270393v1
NW_025791797.1	chr15_MU273374v1_fix
ML143341.1	chr2_ML143341v1_fix
CM000681.2	NC_000019.10
HSCHR19KIR_7191059-2_CTG3_1	KV575259.1
ML143360.1	NW_021160006.1
HSCHR8_9_CTG1	chr8_KI270822v1_alt
KI270333.1	NT_187461.1
MU273376.1	chr16_MU273376v1_fix
CM000668.2	NC_000006.12
NC_000022.11	chr22
KV766198.1	NW_017363819.1
CM000673.2	NC_000011.10
HSCHR19KIR_HG2396_CTG3_1	chr19_KV575260v1_alt
HSCHRX_1_CTG3	KI270880.1
KI270694.1	NT_187353.1
NT_187512.1	chrUn_KI270757v1
HSCHR19KIR_HG2394_CTG3_1	NW_016107305.1
HSCHR5_2_CTG5	chr5_KI270795v1_alt
NT_187626.1	chr21_KI270872v1_alt
KI270661.1	NT_187338.1
HG2046_PATCH	KV575245.1
HG28_PATCH	chr11_ML143358v1_fix
KI270760.1	NT_187514.1
HG1507_PATCH	NW_021160029.1
HG2244_HG2245_PATCH	chr10_KN538367v1_fix
HSCHR3_8_CTG3	NT_187691.1
GJ212130.2	NT_187326.1
HSCHR19KIR_0019-4656-A_CTG3_1	NW_016107300.1
ML143352.1	chr7_ML143352v1_fix
NW_019805499.1	chr12_KZ559112v1_alt
KI270862.1	NT_187613.1
KI270825.1	chr10_KI270825v1_alt
NT_113796.3	chr14_GL000009v2_random
HG142_HG150_NOVEL_TEST	JH159136.1
NW_011332698.1	chr13_KN538371v1_fix
KZ208918.1	chr12_KZ208918v1_alt
NW_016107306.1	chr19_KV575252v1_alt
HSCHR16_5_CTG3_1	chr16_KZ208921v1_alt
KI270634.1	NT_187328.1
KI270543.1	NT_187274.1
KI270630.1	NT_187325.1
HSCHR9_1_CTG5	NT_187578.1
KI270512.1	chrUn_KI270512v1
KZ559101.1	NW_019805488.1
GJ212095.1	KI270575.1
GL000252.2	chr6_GL000252v2_alt
ML143370.1	chr15_ML143370v1_fix
NT_187544.1	chr4_KI270788v1_alt
HSCHR2_2_CTG1	chr2_KI270770v1_alt
HG2217_PATCH	KN196481.1
GJ212128.2	KI270630.1
HSCHR19_4_CTG2	KI270865.1
NT_187685.1	chr19_KI270931v1_alt
GL000216.2	chrUn_GL000216v2
GJ212168.2	KI270676.1
KI866534.1	NT_187236.1
HSCHR3_3_CTG3	chr3_KI270895v1_alt
KI270589.1	NT_187451.1
NW_003315955.1	chr17_GL383566v1_alt
KI270882.1	NT_187636.1
HG1524_PATCH	chr13_ML143365v1_fix
KI270859.1	chr17_KI270859v1_alt
KZ559102.1	chr3_KZ559102v1_alt
KI270782.1	chr3_KI270782v1_alt
NT_187378.1	chr14_KI270723v1_random
NT_187469.1	chrUn_KI270362v1
KI270876.1	chr22_KI270876v1_alt
NT_187411.1	chrUn_KI270419v1
KI270582.1	chrUn_KI270582v1
KI270751.1	chrUn_KI270751v1
HG2247_PATCH	chr12_KN538370v1_fix
HSCHR8_5_CTG1	KI270900.1
HSCHR2_1_CTG5	NW_003315908.1
HG2526_HG2573_PATCH	MU273373.1
HSCHR5_9_CTG1	KZ208910.1
GL383521.1	HSCHR2_1_CTG5
HSCHR14_2_CTG1	KI270845.1
HSCHR5_8_CTG1	KV575243.1
NW_017852932.1	chr8_KV880767v1_fix
HSCHR7_2_CTG6	chr7_KI270803v1_alt
KN196472.1	chr1_KN196472v1_fix
ML143384.1	chrX_ML143384v1_fix
ML143377.1	chr21_ML143377v1_fix
HSCHR22_1_CTG5	NT_187631.1
KN538371.1	NW_011332698.1
12	CM000674.2
KI270808.1	chr7_KI270808v1_alt
KZ208904.1	NW_018654706.1
KZ208923.1	NW_018654725.1
GJ212194.1	NT_187201.1
KZ208909.1	chr3_KZ208909v1_alt
HG2251_PATCH	MU273381.1
GL383534.2	chr7_GL383534v2_alt
HSCHR6_MHC_QBL_CTG1	chr6_GL000255v2_alt
KI270835.1	NT_187587.1
KI270722.1	chr14_KI270722v1_random
NT_187612.1	chr17_KI270860v1_alt
HSCHR2_3_CTG1	KI270773.1
HSCHR19LRC_PGF2_CTG3_1	chr19_GL949753v2_alt
CM000668.2	chr6
HSCHR17_2_CTG1	KI270907.1
NW_003871092.1	chr17_JH159147v1_alt
KN538365.1	chr10_KN538365v1_fix
HSCHR4_2_CTG8_1	NW_025791772.1
KZ559102.1	NW_019805489.1
HSCHRX_3_CTG3	MU273397.1
HSCHR22_1_CTG4	chr22_KI270876v1_alt
NW_021160008.1	chr12_ML143362v1_fix
GJ212131.2	KI270633.1
HSCHR17_3_CTG2	KI270910.1
NW_018654720.1	chr12_KZ208918v1_alt
HG2052_PATCH	chr2_MU273343v1_fix
KV766199.1	chrX_KV766199v1_alt
HSCHR17_3_CTG1	KV766198.1
GJ211949.1	KI270427.1
NT_187398.1	chrUn_KI270303v1
HSCHR2_10_CTG7_2	MU273337.1
GL383567.1	chr18_GL383567v1_alt
HSCHR8_6_CTG7	chr8_KI270820v1_alt
HSCHR3_9_CTG3	chr3_KI270784v1_alt
GJ211932.1	KI270409.1
HSCHR17_10_CTG4	chr17_KI270909v1_alt
HSCHR7_1_CTG6	NW_003315922.2
GL000134.2	NT_010859.15
MU273339.1	chr2_MU273339v1_alt
GL383519.1	chr1_GL383519v1_alt
KI270345.1	NT_187188.1
HSCHR3_9_CTG2_1	chr3_KZ559103v1_alt
GL000040.2	NT_022794.11
HSCHR12_3_CTG2_1	NW_003315942.2
HG439_PATCH	chrX_ML143381v1_fix
GJ212125.2	KI270627.1
HG2509_PATCH	NW_021160012.1
KI270782.1	NT_187534.1
HSCHR8_4_CTG7	chr8_KI270817v1_alt
KI270842.1	NT_187596.1
KI270929.1	NT_187683.1
HSCHR22_1_CTG1	NW_003315971.2
HSCHR19KIR_FH05_B_HAP_CTG3_1	NT_187675.1
NC_000005.10	chr5
NT_187587.1	chr12_KI270835v1_alt
HSCHR22_5_CTG1	NW_009646208.1
GJ212125.2	NT_187323.1
MU273340.1	chr2_MU273340v1_alt
GL000220.1	NT_167214.1
HSCHR19KIR_CA04_CTG3_1	NW_016107311.1
KI270728.1	NT_187383.1
KI270486.1	NT_187250.1
KI270408.1	NT_187215.1
HSCHR19KIR_FH15_B_HAP_CTG3_1	NT_187636.1
GL000253.2	HSCHR6_MHC_MANN_CTG1
KI270348.1	NT_187191.1
KV575256.1	NW_016107310.1
ML143366.1	NW_021160012.1
HSCHR1_2_CTG31	chr1_GL383519v1_alt
KQ090014.1	chr4_KQ090014v1_alt
NT_187405.1	chrUn_KI270312v1
KI270803.1	chr7_KI270803v1_alt
NT_187608.1	chr16_KI270855v1_alt
GJ212051.1	NT_187264.1
HSCHR6_MHC_MCF_CTG1	NT_167247.2
GJ211962.2	NT_187229.1
HSCHR4_7_CTG12	KI270925.1
MU273353.1	chr5_MU273353v1_fix
NW_019805502.1	chr18_KZ559115v1_fix
HG2578_PATCH	MU273371.1
KI270923.1	chr19_KI270923v1_alt
NW_018654719.1	chr12_KZ208917v1_fix
KI270470.1	NT_187240.1
KN538371.1	chr13_KN538371v1_fix
HSCHR19_4_CTG3_1	KI270938.1
GJ212060.1	NT_187271.1
GL383545.1	chr10_GL383545v1_alt
KI270364.1	NT_187468.1
GJ211882.1	NT_187186.1
HG1532_PATCH	MU273398.1
KI270712.1	chr1_KI270712v1_random
HSCHR15_1_CTG1	NT_187602.1
NW_017363813.1	chr3_KV766192v1_fix
13	chr13
NW_025791788.1	chr9_MU273365v1_fix
HSCHR6_MHC_COX_CTG1	chr6_GL000251v2_alt
GL000188.2	NT_025975.3
KI270535.1	NT_187268.1
KI270763.1	chr1_KI270763v1_alt
KI270443.1	NT_187231.1
HG1298_PATCH	ML143347.1
HSCHR13_1_CTG5	chr13_KI270842v1_alt
GL949753.2	chr19_GL949753v2_alt
GL000183.1	NT_011878.9
HSCHR5_5_CTG1	chr5_KI270793v1_alt
NT_187396.1	chrUn_KI270302v1
MU273360.1	chr8_MU273360v1_fix
HSCHR13_1_CTG6	NT_187597.1
KI270601.1	NT_187302.1
NW_025791810.1	chr19_MU273387v1_alt
KI270900.1	chr8_KI270900v1_alt
HSCHR19LRC_LRC_T_CTG3_1	chr19_GL949751v2_alt
GL383571.1	chr18_GL383571v1_alt
HG2499_PATCH	NW_021160015.1
GJ212162.2	KI270670.1
HSCHR1_3_CTG32_1	chr1_KI270763v1_alt
NW_003315954.1	chr17_GL383565v1_alt
HSCHR13_1_CTG8	KQ090025.1
HSCHR7_2_CTG6	NT_187562.1
HG2580_PATCH	MU273383.1
NT_187472.1	chrUn_KI270379v1
NC_000018.10	chr18
NT_187538.1	chr3_KI270781v1_alt
HSCHR14_9_CTG1	NW_021160014.1
MU273389.1	NW_025791812.1
NW_025791759.1	chr1_MU273336v1_fix
HSCHR19KIR_7191059-2_CTG3_1	NW_016107313.1
HSCHR3_3_CTG2_1	KI270778.1
HSCHR19KIR_GRC212_AB_HAP_CTG3_1	chr19_KI270887v1_alt
GL000250.2	chr6_GL000250v2_alt
KZ208907.1	NW_018654709.1
HSCHR2_2_CTG15	chr2_KI270893v1_alt
GJ212062.1	KI270542.1
NW_015148967.1	chr12_KQ759760v1_fix
ML143379.1	NW_021160025.1
KQ090023.1	chr12_KQ090023v1_alt
KI270796.1	NT_187549.1
NW_018654721.1	chr14_KZ208919v1_alt
HSCHR3_9_CTG2_1	KZ559103.1
NW_011332688.1	chr1_KN538361v1_fix
HG2515_PATCH	NW_025791758.1
HSCHR17_5_CTG4	chr17_JH159147v1_alt
KQ031389.1	chr15_KQ031389v1_alt
HSCHR8_5_CTG7	KI270819.1
HSCHR18_3_CTG2_1	KI270863.1
NW_013171806.1	chr10_KQ090020v1_alt
NT_187384.1	chr17_KI270729v1_random
KI270632.1	NT_187326.1
GL000250.2	HSCHR6_MHC_APD_CTG1
HSCHR19_2_CTG2	NW_003315964.2
HG1311_HG2539_PATCH	chr22_KQ759762v2_fix
HSCHR6_MHC_MANN_CTG1	NT_167246.2
NT_167211.2	chrUn_GL000216v2
HG1521_PATCH	ML143356.1
HSCHR11_2_CTG1	KI270902.1
GL000059.2	NT_007933.16
MU273334.1	chr1_MU273334v1_fix
KZ559107.1	NW_019805494.1
HSCHR6_1_CTG10	KQ090017.1
MU273365.1	chr9_MU273365v1_fix
HSCHR1_3_CTG31	NW_003315907.2
HG2052_PATCH	NW_025791766.1
KQ090023.1	NW_013171809.1
HSCHR8_2_CTG1	NT_187568.1
CM000671.2	chr9
KQ090015.1	NW_013171801.1
KN538361.1	NW_011332688.1
NT_187522.1	chr2_KI270769v1_alt
GJ212205.1	NT_187236.1
HSCHR12_6_CTG2_1	NT_187590.1
KN196476.1	NW_009646198.1
HSCHR15_3_CTG3	chr15_KI270851v1_alt
NW_012132917.1	chr3_KQ031386v1_fix
HSCHR17_1_CTG1	chr17_GL383563v3_alt
KI270788.1	NT_187544.1
GL383572.1	chr18_GL383572v1_alt
NW_003315957.1	chr18_GL383568v1_alt
KQ031390.1	chr16_KQ031390v1_alt
NT_187467.1	chrUn_KI270363v1
NW_025791821.1	chrY_MU273398v1_fix
HSCHR18_5_CTG1_1	KQ458385.1
NT_187680.1	chr8_KI270926v1_alt
KV575250.1	chr19_KV575250v1_alt
NW_025791811.1	chr20_MU273388v1_fix
GJ212201.1	NT_187285.1
NT_187495.1	chrUn_KI270448v1
GJ211855.1	KI270319.1
GJ211907.1	NT_187199.1
GJ212135.2	KI270637.1
HSCHR17_6_CTG4	chr17_JH159148v1_alt
KQ031385.1	NW_012132916.1
MU273353.1	NW_025791776.1
MU273389.1	chr20_MU273389v1_fix
MU273383.1	chr17_MU273383v1_fix
HSCHR21_1_CTG1_1	chr21_GL383578v2_alt
HG1311_HG2539_PATCH	NW_015148969.2
KI270901.1	NT_187655.1
KI270809.1	chr7_KI270809v1_alt
HG2412_PATCH	chr18_KZ559115v1_fix
KZ208924.1	NW_018654726.1
HSCHR4_7_CTG12	chr4_KI270925v1_alt
KI270340.1	NT_187464.1
HSCHR19KIR_CA01-TB04_CTG3_1	KV575249.1
KI270533.1	NT_187266.1
HG2155_PATCH	chr4_MU273350v1_fix
KZ559112.1	NW_019805499.1
ML143353.1	chr9_ML143353v1_fix
MU273343.1	NW_025791766.1
HSCHR1_6_CTG3	chr1_KV880763v1_alt
KI270848.1	NT_187603.1
GL383576.1	HSCHR19_3_CTG2
HSCHR18_1_CTG2	chr18_GL383568v1_alt
GL000148.1	NT_113953.1
HSCHR19KIR_7191059-1_CTG3_1	KV575255.1
HG2191_PATCH	chr10_KN196480v1_fix
HSCHR11_1_CTG1_2	KN538368.1
HSCHR1_1_CTG3	chr1_KI270762v1_alt
HSCHR4_11_CTG12	chr4_KQ983258v1_alt
NT_187571.1	chr8_KI270816v1_alt
HSCHR1_6_CTG31	chr1_MU273332v1_alt
NW_025791802.1	chr17_MU273379v1_fix
KI270332.1	NT_187183.1
GL000185.2	NT_113819.2
HSCHR4_1_CTG9	NT_167250.2
KI270792.1	NT_187548.1
NC_000023.11	chrX
KI270465.1	chrUn_KI270465v1
KI270834.1	NT_187590.1
GL383531.1	HSCHR5_1_CTG5
KI270851.1	NT_187604.1
HSCHR12_5_CTG2_1	KI270833.1
KI270388.1	chrUn_KI270388v1
ML143378.1	NW_021160024.1
KI270334.1	chrUn_KI270334v1
NT_187415.1	chrUn_KI270417v1
KI270727.1	chr15_KI270727v1_random
KI270806.1	NT_187559.1
HSCHR11_1_CTG2	NT_187581.1
NT_187621.1	chr19_KI270865v1_alt
HSCHR6_MHC_DBB_CTG1	NT_167245.2
KZ208917.1	chr12_KZ208917v1_fix
6	NC_000006.12
KI270802.1	NT_187557.1
HSCHR5_3_CTG1_1	chr5_GL383530v1_alt
KI270928.1	chr22_KI270928v1_alt
KN196484.1	NW_009646206.1
HSCHR8_2_CTG7	KI270815.1
KI270419.1	NT_187411.1
HG1398_PATCH	ML143362.1
HSCHR7_2_CTG1	NT_187653.1
HSCHR12_2_CTG2	NW_003571050.1
KI270325.1	NT_187178.1
KI270525.1	NT_187261.1
HSCHR13_1_CTG4	KI270841.1
GL383526.1	HSCHR3_1_CTG2_1
J01415.2	MT
HG2237_PATCH	chr3_KQ031386v1_fix
HG2267_PATCH	NW_025791785.1
NW_021160017.1	chr15_ML143371v1_fix
GL000119.2	NT_078094.3
HSCHR13_1_CTG8	chr13_KQ090025v1_alt
KI270528.1	NT_187440.1
KI270772.1	chr2_KI270772v1_alt
HSCHR1_8_CTG3	chr1_KZ208904v1_alt
GL000245.1	NT_167239.1
KI270522.1	chrUn_KI270522v1
HSCHR22_4_CTG1	KN196485.1
KI270449.1	NT_187349.1
HG1708_PATCH	chr11_KV766195v1_fix
HSCHR4_3_CTG12	NT_187543.1
HG1466_PATCH	chrX_ML143385v1_fix
NW_003315946.1	chr16_GL383557v1_alt
HSCHR3_2_CTG2_1	NT_187533.1
HSCHR1_5_CTG3	chr1_KQ983255v1_alt
NW_025791763.1	chr2_MU273340v1_alt
KI270802.1	chr6_KI270802v1_alt
HG2219_PATCH	MU273390.1
GL000042.2	NT_006238.12
HSCHR15_1_CTG3	chr15_KI270848v1_alt
MU273359.1	chr8_MU273359v1_fix
KI270706.1	chr1_KI270706v1_random
HSCHRX_3_CTG3	NW_025791820.1
NT_187490.1	chrUn_KI270374v1
HSCHR17_8_CTG4	chr17_KI270858v1_alt
KV575245.1	NW_016107299.1
NW_025791786.1	chr8_MU273363v1_fix
NW_003315921.1	chr6_GL383533v1_alt
HSCHR22_1_CTG2	NW_003315972.2
HG699_PATCH	NW_021159990.1
NT_187657.1	chr11_KI270903v1_alt
HG2365_PATCH	NW_021160017.1
GL000218.1	NT_113889.1
GJ212004.2	KI270482.1
HG2285_HG106_HG2252_PATCH	NW_017363817.1
GL000164.2	NT_079573.5
HSCHR4_1_CTG6	NW_003315915.1
KI270418.1	chrUn_KI270418v1
HSCHR19KIR_CA01-TA01_1_CTG3_1	NW_016107301.1
NW_021159995.1	chr4_ML143349v1_fix
NT_187445.1	chrUn_KI270548v1
KI270883.1	NT_187637.1
HSCHR17_3_CTG1	NW_017363819.1
KI270617.1	NT_187318.1
HSCHR11_1_CTG6	chr11_KI270830v1_alt
HG1817_1_PATCH	NW_021160009.1
HG2217_PATCH	NW_009646203.1
HSCHR4_1_CTG12	NW_003315914.1
KI270411.1	chrUn_KI270411v1
NW_025791801.1	chr17_MU273378v1_alt
HSCHR16_1_CTG1	NT_187607.1
NT_187606.1	chr15_KI270850v1_alt
HSCHR11_3_CTG1	chr11_KI270927v1_alt
KV766196.1	NW_017363817.1
GJ212028.2	KI270506.1
HSCHR14_1_CTG1	NT_187598.1
3	chr3
KI270873.1	NT_187627.1
KB663609.1	NW_004504305.1
KI270301.1	NT_187172.1
KI270620.1	NT_187321.1
HSCHR15_1_CTG1	KI270852.1
KI270787.1	chr4_KI270787v1_alt
KI270740.1	NT_187395.1
MU273337.1	NW_025791760.1
GJ212072.2	NT_187281.1
HSCHR7_3_CTG4_4	chr7_KZ208913v1_alt
NT_187547.1	chr5_KI270791v1_alt
HSCHR3_4_CTG3	chr3_KI270924v1_alt
NW_009646207.1	chr22_KN196485v1_alt
KI270387.1	chrUn_KI270387v1
JH636055.2	NW_003871060.2
KI270908.1	NT_187663.1
NW_013171814.1	chr18_KQ090028v1_fix
KI270305.1	NT_187399.1
NT_187645.1	chr19_KI270891v1_alt
KI270467.1	chrUn_KI270467v1
KN538366.1	NW_011332693.1
KI270768.1	NT_187528.1
HSCHR19KIR_CA01-TA01_2_CTG3_1	KV575248.1
HSCHR19KIR_FH13_A_HAP_CTG3_1	NT_187685.1
GJ211906.2	NT_187198.1
HSCHR21_4_CTG1_1	chr21_GL383581v2_alt
14	NC_000014.9
GJ212130.2	KI270632.1
HSCHR2_4_CTG1	chr2_KI270774v1_alt
15	NC_000015.10
HSCHR19KIR_G085_A_HAP_CTG3_1	chr19_KI270883v1_alt
KI270381.1	NT_187486.1
HG2471_PATCH	chr16_ML143373v1_fix
HG2068_PATCH	chr8_KV880767v1_fix
KI270324.1	NT_187177.1
HSCHR1_5_CTG31	MU273331.1
GL383545.1	NW_003315934.1
KI270783.1	chr3_KI270783v1_alt
