region_id	sample	read_pairs	singletons	r1_fastq	r2_fastq
05_chr7	ACC13778A2	1829	0	https://raw.githubusercontent.com/nf-core/test-datasets/raredisease/fastq/ACC13778A2/05_chr7_R1.fastq.gz	https://raw.githubusercontent.com/nf-core/test-datasets/raredisease/fastq/ACC13778A2/05_chr7_R2.fastq.gz
06_chr20a	ACC13778A2	2001	0	https://raw.githubusercontent.com/nf-core/test-datasets/raredisease/fastq/ACC13778A2/06_chr20a_R1.fastq.gz	https://raw.githubusercontent.com/nf-core/test-datasets/raredisease/fastq/ACC13778A2/06_chr20a_R2.fastq.gz
07_chr16	ACC13778A2	1697	0	https://raw.githubusercontent.com/nf-core/test-datasets/raredisease/fastq/ACC13778A2/07_chr16_R1.fastq.gz	https://raw.githubusercontent.com/nf-core/test-datasets/raredisease/fastq/ACC13778A2/07_chr16_R2.fastq.gz
08_chr21	ACC13778A2	3949	0	https://raw.githubusercontent.com/nf-core/test-datasets/raredisease/fastq/ACC13778A2/08_chr21_R1.fastq.gz	https://raw.githubusercontent.com/nf-core/test-datasets/raredisease/fastq/ACC13778A2/08_chr21_R2.fastq.gz
09_chr1	ACC13778A2	4856	1	https://raw.githubusercontent.com/nf-core/test-datasets/raredisease/fastq/ACC13778A2/09_chr1_R1.fastq.gz	https://raw.githubusercontent.com/nf-core/test-datasets/raredisease/fastq/ACC13778A2/09_chr1_R2.fastq.gz
01_chrM	ACC13778A3	1041788	1	https://raw.githubusercontent.com/nf-core/test-datasets/raredisease/fastq/ACC13778A3/01_chrM_R1.fastq.gz	https://raw.githubusercontent.com/nf-core/test-datasets/raredisease/fastq/ACC13778A3/01_chrM_R2.fastq.gz
02_chrX	ACC13778A3	2381	0	https://raw.githubusercontent.com/nf-core/test-datasets/raredisease/fastq/ACC13778A3/02_chrX_R1.fastq.gz	https://raw.githubusercontent.com/nf-core/test-datasets/raredisease/fastq/ACC13778A3/02_chrX_R2.fastq.gz
03_chr12	ACC13778A3	6195	0	https://raw.githubusercontent.com/nf-core/test-datasets/raredisease/fastq/ACC13778A3/03_chr12_R1.fastq.gz	https://raw.githubusercontent.com/nf-core/test-datasets/raredisease/fastq/ACC13778A3/03_chr12_R2.fastq.gz
04_chr20b	ACC13778A3	5918	0	https://raw.githubusercontent.com/nf-core/test-datasets/raredisease/fastq/ACC13778A3/04_chr20b_R1.fastq.gz	https://raw.githubusercontent.com/nf-core/test-datasets/raredisease/fastq/ACC13778A3/04_chr20b_R2.fastq.gz
05_chr7	ACC13778A3	1941	0	https://raw.githubusercontent.com/nf-core/test-datasets/raredisease/fastq/ACC13778A3/05_chr7_R1.fastq.gz	https://raw.githubusercontent.com/nf-core/test-datasets/raredisease/fastq/ACC13778A3/05_chr7_R2.fastq.gz
06_chr20a	ACC13778A3	2003	0	https://raw.githubusercontent.com/nf-core/test-datasets/raredisease/fastq/ACC13778A3/06_chr20a_R1.fastq.gz	https://raw.githubusercontent.com/nf-core/test-datasets/raredisease/fastq/ACC13778A3/06_chr20a_R2.fastq.gz
07_chr16	ACC13778A3	1777	0	https://raw.githubusercontent.com/nf-core/test-datasets/raredisease/fastq/ACC13778A3/07_chr16_R1.fastq.gz	https://raw.githubusercontent.com/nf-core/test-datasets/raredisease/fastq/ACC13778A3/07_chr16_R2.fastq.gz
08_chr21	ACC13778A3	4288	0	https://raw.githubusercontent.com/nf-core/test-datasets/raredisease/fastq/ACC13778A3/08_chr21_R1.fastq.gz	https://raw.githubusercontent.com/nf-core/test-datasets/raredisease/fastq/ACC13778A3/08_chr21_R2.fastq.gz
09_chr1	ACC13778A3	5007	0	https://raw.githubusercontent.com/nf-core/test-datasets/raredisease/fastq/ACC13778A3/09_chr1_R1.fastq.gz	https://raw.githubusercontent.com/nf-core/test-datasets/raredisease/fastq/ACC13778A3/09_chr1_R2.fastq.gz
