geneID	TFCP2L1(MA0145.2)	ARID5A(MA0602.1)	ATF3(MA0605.1)	ESRRG(MA0643.1)	GLI2(MA0734.3)	NPAS2(MA0626.1)	NR5A2(MA0505.2)	SOX17(MA0078.2)	STAT4(MA0518.1)	TWIST2(MA0633.2)	NumPeaks	AvgPeakDistance	AvgPeakSize
ENSMUSG00000099760.1	0.0000006110	0.0000003899	0.0000000616	0.0000002337	0.0000000617	0.0000000017	0.0000005954	0.0000002401	0.0000000048	0.0000001496	1.0000000000	16588.0000000000	244.0000000000
ENSMUSG00000104164.1	0.0008381088	0.0004905965	0.0003085546	0.0001560075	0.0000084681	0.0003720253	0.0000349958	0.0003254923	0.0000163311	0.0247490826	2.0000000000	6611.0000000000	718.5000000000
ENSMUSG00000102782.1	0.0007888523	0.0004356499	0.0000776869	0.0009105710	0.0000055429	0.0000381292	0.0027628836	0.0000823871	0.0000821982	0.0049605334	4.0000000000	17443.7500000000	903.7500000000
ENSMUSG00000103999.1	0.0089407885	0.0049376212	0.0008804968	0.0103203393	0.0000628230	0.0004321530	0.0313143020	0.0009337691	0.0009316283	0.0562222889	4.0000000000	5304.7500000000	903.7500000000
ENSMUSG00000056211.13	0.0104910731	0.0059934295	0.0010759203	0.0148338289	0.0000775664	0.0005275678	0.0406613209	0.0013347940	0.0012197175	0.0659440808	4.0000000000	3732.2500000000	903.7500000000
ENSMUSG00000101535.1	0.0000835246	0.0000974252	0.0000150791	0.0008789799	0.0000016965	0.0000110595	0.0015997637	0.0000267736	0.0000181177	0.0005163725	4.0000000000	21211.5000000000	903.7500000000
ENSMUSG00000104239.1	0.0000007541	0.0000249787	0.0000025496	0.0004550268	0.0000006485	0.0000037456	0.0007510260	0.0000001598	0.0000000274	0.0000000992	2.0000000000	22392.5000000000	438.0000000000
ENSMUSG00000026353.9	0.0123376600	0.0048673258	0.0014014376	0.0001484428	0.0000186230	0.0013850095	0.0001232803	0.0000292408	0.0000045515	0.0315654184	1.0000000000	208.0000000000	1816.0000000000
ENSMUSG00000026354.8	0.0000000050	0.0000000923	0.0000005318	0.0000021585	0.0000000525	0.0000045858	0.0000001480	0.0000000020	0.0000000039	0.0000000148	1.0000000000	24109.0000000000	261.0000000000
ENSMUSG00000026355.11	0.0000875600	0.0083885802	0.0260844068	0.0004055087	0.0001523241	0.0011315584	0.0199599314	0.0003078227	0.0466634241	0.0657131858	1.0000000000	0.0000000000	2494.0000000000
ENSMUSG00000026356.15	0.0000941327	0.0021664736	0.0004068795	0.0014712445	0.0001994590	0.0137159035	0.0016839424	0.0001174229	0.0013409453	0.0339413296	3.0000000000	9456.6669921875	827.3333129883
ENSMUSG00000045382.6	0.0622224284	0.0114404365	0.0019340872	0.0006031031	0.0000986793	0.0232059658	0.0014945787	0.0003175612	0.0008875953	0.0520948585	6.0000000000	11840.6669921875	1200.5000000000
ENSMUSG00000097283.1	0.0055295421	0.0034746712	0.0021928395	0.0000097384	0.0000258507	0.0001268113	0.0000355747	0.0000193623	0.0001895884	0.0043648664	3.0000000000	16395.3339843750	1196.0000000000
ENSMUSG00000100623.1	0.0000020422	0.0000049920	0.0000113534	0.0000000012	0.0000000006	0.0000000022	0.0000000170	0.0000002254	0.0000625459	0.0000001320	1.0000000000	13094.0000000000	230.0000000000
ENSMUSG00000086633.1	0.0000003071	0.0002591978	0.0000000554	0.0000000007	0.0000019541	0.0000000237	0.0000000052	0.0000010321	0.0000149193	0.0000001048	1.0000000000	18691.0000000000	318.0000000000
ENSMUSG00000086825.1	0.0003052713	0.0000027679	0.0000045677	0.0000002336	0.0000013261	0.0000030775	0.0000006299	0.0000005694	0.0000813896	0.0004578432	1.0000000000	24848.0000000000	2035.0000000000
ENSMUSG00000026399.12	0.0441444121	0.0043155608	0.0015210445	0.0000749086	0.0001984287	0.0005880006	0.0001520617	0.0004047495	0.0118335672	0.0694933103	4.0000000000	12953.7500000000	2079.2500000000
ENSMUSG00000085526.1	0.0441379781	0.0041861338	0.0014925152	0.0000735449	0.0001981805	0.0005832119	0.0001500336	0.0003940845	0.0118297353	0.0693750885	4.0000000000	13079.7500000000	2079.2500000000
ENSMUSG00000102139.1	0.0207048366	0.0113271851	0.0027580642	0.0001328451	0.0001089072	0.0006154842	0.0002162126	0.0009559067	0.0057024394	0.0404016802	4.0000000000	10007.5000000000	2079.2500000000
ENSMUSG00000103751.1	0.0081107703	0.0354021577	0.0078859811	0.0003772674	0.0000953827	0.0013717739	0.0005669642	0.0029242902	0.0027404244	0.0418138743	4.0000000000	7122.0000000000	2079.2500000000
ENSMUSG00000042554.10	0.0000006011	0.0008428318	0.0000008243	0.0000000258	0.0000016279	0.0000028731	0.0000006757	0.0000087426	0.0000000204	0.0000000064	1.0000000000	15325.0000000000	376.0000000000
ENSMUSG00000026405.14	0.0000004935	0.0006919871	0.0000006768	0.0000000212	0.0000013365	0.0000023589	0.0000005548	0.0000071779	0.0000000167	0.0000000052	1.0000000000	16311.0000000000	376.0000000000
ENSMUSG00000101904.1	0.0339398303	0.0028428421	0.0070394078	0.0003031216	0.0002557728	0.0059247712	0.0006232335	0.0004910884	0.0158237590	0.0454305451	8.0000000000	13335.1250000000	1430.8750000000
ENSMUSG00000100257.1	0.0000001013	0.0000277538	0.0000143658	0.0000000181	0.0000000288	0.0000000832	0.0000000588	0.0000014558	0.0008011671	0.0000008911	2.0000000000	19443.0000000000	418.0000000000
ENSMUSG00000026409.14	0.0391258013	0.0113174224	0.0551170427	0.0023315759	0.0018956469	0.0240810672	0.0015283441	0.0010870752	0.1247361930	0.1397220073	8.0000000000	10548.5000000000	1660.5000000000
ENSMUSG00000046404.5	0.0350878531	0.0034439311	0.0088136749	0.0003796294	0.0003171184	0.0067055441	0.0006704114	0.0005161860	0.0191566982	0.0497726178	8.0000000000	12762.1250000000	1430.8750000000
ENSMUSG00000104515.1	0.0394064215	0.0113427518	0.0549051436	0.0023300322	0.0018931701	0.0241162901	0.0015217914	0.0010405346	0.1247299497	0.1397244527	8.0000000000	10602.5000000000	1660.5000000000
ENSMUSG00000042510.7	0.0380651140	0.0112465362	0.0570589703	0.0023491225	0.0019211161	0.0239426267	0.0016080293	0.0015144649	0.1248515845	0.1412096337	7.0000000000	7721.8569335938	1860.1428222656
ENSMUSG00000099556.1	0.0143221268	0.0034101000	0.0360909780	0.0007001778	0.0007635206	0.0056132113	0.0016377051	0.0035917809	0.0247556672	0.0744469908	9.0000000000	11774.3330078125	2097.3332519531
ENSMUSG00000100106.1	0.0019443708	0.0130738528	0.0489857231	0.0188904114	0.0004838294	0.0489863426	0.0033956512	0.0046749279	0.0120118457	0.1703774553	7.0000000000	11056.2861328125	2063.4284667969
ENSMUSG00000026415.11	0.0030072958	0.0077017588	0.0072752429	0.0040458854	0.0006637068	0.0014074774	0.0027084843	0.0060294661	0.0553628915	0.0081356206	8.0000000000	9931.3750000000	3155.8750000000
ENSMUSG00000086706.7	0.0206339927	0.0668416842	0.0613479876	0.0121480357	0.0028328741	0.0088681121	0.0139537388	0.0404531666	0.0775951895	0.1677150885	7.0000000000	14465.2861328125	4183.1430664062
ENSMUSG00000026417.13	0.0206508324	0.0680327244	0.0625507111	0.0131588929	0.0028180035	0.0098853277	0.0141134281	0.0405194938	0.0786792494	0.1700729349	5.0000000000	10629.2001953125	5189.3999023438
ENSMUSG00000042474.6	0.0009332363	0.0005872751	0.0002477138	0.0004102406	0.0000020737	0.0004312580	0.0001163951	0.0004345462	0.0002563089	0.0000159679	4.0000000000	10471.2500000000	1106.2500000000
ENSMUSG00000026420.16	0.0001895702	0.0018341208	0.0275453178	0.0001153505	0.0000719835	0.0001000599	0.0094169696	0.0005112008	0.0224289488	0.0605855734	4.0000000000	12556.7500000000	1229.7500000000
ENSMUSG00000026416.12	0.0000136351	0.0005789081	0.0119128252	0.0000157582	0.0000059029	0.0000165444	0.0019048509	0.0000471367	0.0016316039	0.0040644702	2.0000000000	12739.5000000000	1922.5000000000
ENSMUSG00000016528.10	0.0055151429	0.0005197892	0.0266511865	0.0334435050	0.0004393163	0.0007683390	0.0054661177	0.0001864711	0.0601825005	0.0688654217	9.0000000000	11359.4443359375	691.3333129883
ENSMUSG00000088705.1	0.0003401570	0.0001458234	0.0006177665	0.0009948720	0.0000936586	0.0004268415	0.0022218280	0.0000944575	0.0067273691	0.0580012089	9.0000000000	10930.8886718750	637.5555419922
ENSMUSG00000102856.1	0.0038738458	0.0003059582	0.0136730725	0.0164884621	0.0002621919	0.0009146138	0.0031770231	0.0001283282	0.0309268007	0.0350707574	10.0000000000	10664.2998046875	638.0999755859
ENSMUSG00000089256.1	0.0032785269	0.0002582670	0.0110423401	0.0137057229	0.0001926037	0.0003116616	0.0029258565	0.0001735453	0.0256036474	0.0332971083	8.0000000000	12288.8750000000	747.0000000000
ENSMUSG00000016526.8	0.0023800762	0.0272195214	0.0020137632	0.0237288252	0.0010345694	0.0028928730	0.0234307961	0.0024046903	0.0239564501	0.0347462245	2.0000000000	7219.0000000000	3321.0000000000
ENSMUSG00000026427.16	0.0010841854	0.0029582703	0.0010609712	0.0017680333	0.0001649621	0.0006513124	0.0019874813	0.0002024228	0.0028217794	0.0352494898	2.0000000000	6495.5000000000	3321.0000000000
ENSMUSG00000026430.15	0.0151908214	0.0229613720	0.0031472057	0.0089904826	0.0044082277	0.0010752975	0.0011318812	0.0001350213	0.0099638066	0.0821736580	6.0000000000	8702.3330078125	1511.8333740234
ENSMUSG00000101729.1	0.0029956198	0.0007943672	0.0123485192	0.0016057425	0.0001662591	0.0001816834	0.0001927209	0.0014960173	0.0049307954	0.0392283540	8.0000000000	13656.2500000000	961.7500000000
ENSMUSG00000042349.13	0.0043743553	0.0039610179	0.0290052537	0.0078131033	0.0040181750	0.0034414469	0.0062240389	0.0010308507	0.0112097657	0.1199542950	6.0000000000	7817.6665039062	1349.5000000000
ENSMUSG00000102027.1	0.0051752150	0.0018713679	0.0012130093	0.0013674388	0.0008615369	0.0002571673	0.0001877541	0.0000335381	0.0089086617	0.0265971525	6.0000000000	14761.1669921875	2069.1667480469
ENSMUSG00000102055.1	0.0027447878	0.0010934429	0.0018646124	0.0015869604	0.0009207027	0.0004483032	0.0003494876	0.0000633028	0.0055979660	0.0191091333	9.0000000000	18624.5546875000	1717.7778320312
ENSMUSG00000026425.15	0.0069804870	0.0002869550	0.0002526797	0.0001808091	0.0001002846	0.0004526519	0.0000872727	0.0005266960	0.0003296272	0.0333070202	3.0000000000	1203.6666259766	974.6666870117
ENSMUSG00000102733.1	0.0000063366	0.0000577428	0.0057099227	0.0000012993	0.0000000440	0.0000000057	0.0000000502	0.0000003974	0.0000014479	0.0000009230	1.0000000000	7473.0000000000	153.0000000000
ENSMUSG00000104060.1	0.0260940091	0.0010148396	0.0512715453	0.0000143241	0.0004655424	0.0012016808	0.0000226658	0.0016889932	0.0253786760	0.0984564062	2.0000000000	2834.5000000000	1187.5000000000
ENSMUSG00000101778.1	0.0000000274	0.0000042478	0.0000006378	0.0000000208	0.0000000376	0.0000000763	0.0000000613	0.0000004476	0.0000000264	0.0000000414	1.0000000000	24358.0000000000	656.0000000000
ENSMUSG00000099959.1	0.0000088068	0.0000448048	0.0005632157	0.0000006348	0.0000516980	0.0000373017	0.0000002528	0.0000132543	0.0000005507	0.0171490087	3.0000000000	5530.0000000000	226.0000000000
ENSMUSG00000055184.4	0.0063831629	0.0002593385	0.0002388572	0.0001656033	0.0000904278	0.0004690001	0.0000888513	0.0004743722	0.0003344505	0.0300224363	3.0000000000	1378.3333740234	974.6666870117
ENSMUSG00000095841.2	0.0001783661	0.0032281182	0.0010792437	0.0003460448	0.0004002430	0.0002182619	0.0002282326	0.0022303270	0.0149197364	0.0342963826	2.0000000000	14978.5000000000	1526.5000000000
ENSMUSG00000004552.16	0.0005153462	0.0093268966	0.0031216351	0.0009998150	0.0011564069	0.0006306188	0.0006594444	0.0064439924	0.0431069800	0.0990955203	2.0000000000	9657.5000000000	1526.5000000000
ENSMUSG00000052688.12	0.0257031214	0.0062185433	0.0300373534	0.0075933290	0.0033499642	0.0351416050	0.0021620054	0.0020755105	0.0210365387	0.1331013628	3.0000000000	6971.0000000000	3702.0000000000
ENSMUSG00000042268.10	0.0370653830	0.0016458589	0.0762660776	0.0207019521	0.0006119575	0.0172021296	0.0083542890	0.0063047518	0.0082482306	0.1140677478	11.0000000000	10310.8183593750	1008.5454711914
ENSMUSG00000042251.12	0.0001494825	0.0001095991	0.0007602414	0.0008270434	0.0005919345	0.0000350150	0.0011682071	0.0005725667	0.0035466785	0.0364781091	6.0000000000	13116.8330078125	611.1666870117
ENSMUSG00000013275.9	0.0357860656	0.0061900604	0.0297939588	0.0248093002	0.0015120521	0.0016649891	0.0080577900	0.0045132905	0.0494989109	0.2554033013	6.0000000000	11360.5000000000	1722.8333740234
ENSMUSG00000026433.13	0.0006787907	0.0021511161	0.0004173267	0.0004637868	0.0001447191	0.0004465648	0.0004219937	0.0000567577	0.0498913195	0.0371004537	3.0000000000	3731.6667480469	828.0000000000
ENSMUSG00000100026.1	0.0006646025	0.0010569368	0.0013432600	0.0004619064	0.0001164421	0.0001685235	0.0001089483	0.0000217385	0.0000230531	0.0000984794	1.0000000000	2657.0000000000	1990.0000000000
ENSMUSG00000026434.12	0.0011306965	0.0017981798	0.0022853050	0.0007858471	0.0001981044	0.0002867112	0.0001853551	0.0000369839	0.0000392205	0.0001675442	1.0000000000	0.0000000000	1990.0000000000
ENSMUSG00000103569.1	0.0006664421	0.0014107390	0.0013487856	0.0004625706	0.0001161956	0.0001932782	0.0001106026	0.0000416830	0.0001563012	0.0009496513	2.0000000000	13234.0000000000	3278.0000000000
ENSMUSG00000103975.1	0.0008461019	0.0162256348	0.0011142381	0.0058436073	0.0000694473	0.0012215421	0.0039363448	0.0008294158	0.0058369794	0.0368303595	3.0000000000	12954.0000000000	3151.0000000000
ENSMUSG00000100037.1	0.0393414787	0.0037540866	0.0603323328	0.0324634306	0.0046293708	0.0250048814	0.0209118889	0.0006855313	0.0081128848	0.1658111607	8.0000000000	11206.2500000000	2657.5000000000
ENSMUSG00000026435.15	0.0394073630	0.0037544706	0.0604186031	0.0325295136	0.0046358081	0.0250116949	0.0209507481	0.0006869505	0.0081309072	0.1661386081	8.0000000000	11201.3750000000	2657.5000000000
ENSMUSG00000026436.15	0.0022736723	0.0210254753	0.0305033405	0.0120777855	0.0051356217	0.0033454076	0.0247406571	0.0049195180	0.0045343131	0.1204817255	4.0000000000	6205.7500000000	1788.0000000000
ENSMUSG00000059149.17	0.0017057791	0.0022270562	0.0041965977	0.0004942157	0.0032762019	0.0378618903	0.0009590066	0.0004944376	0.0127980551	0.1104151831	6.0000000000	12274.5000000000	1787.3333740234
ENSMUSG00000097454.1	0.0064444974	0.0014046039	0.0186648911	0.0036420548	0.0002905807	0.0012469070	0.0017187520	0.0001719472	0.0447019050	0.0335341042	6.0000000000	14528.3330078125	1760.8333740234
ENSMUSG00000088779.1	0.0002211982	0.0016827612	0.0016011456	0.0000223296	0.0000044707	0.0000177895	0.0012381651	0.0000884537	0.0007549770	0.0044683325	5.0000000000	16875.5996093750	1135.4000244141
ENSMUSG00000103966.1	0.0002604723	0.0023006684	0.0011360687	0.0000293086	0.0000053367	0.0000219724	0.0009199426	0.0000679834	0.0006530532	0.0035338364	5.0000000000	15840.0000000000	1135.4000244141
ENSMUSG00000026437.11	0.0045032848	0.0073923331	0.0122306915	0.0026667517	0.0013647045	0.0070490524	0.0062771645	0.0002303405	0.0085423619	0.1558812314	11.0000000000	12213.2724609375	1073.0000000000
ENSMUSG00000099874.1	0.0045123572	0.0072829192	0.0118722539	0.0026674489	0.0013649794	0.0068977926	0.0062838657	0.0002305497	0.0084842786	0.1561637422	11.0000000000	12246.0000000000	1073.0000000000
ENSMUSG00000101549.1	0.0000086506	0.0000000755	0.0000000783	0.0000000515	0.0000000090	0.0000000109	0.0000000191	0.0000000384	0.0000000223	0.0000050307	1.0000000000	11564.0000000000	158.0000000000
ENSMUSG00000089808.3	0.0000194147	0.0000001695	0.0000001757	0.0000001156	0.0000000201	0.0000000245	0.0000000429	0.0000000863	0.0000000500	0.0000112905	1.0000000000	7522.0000000000	158.0000000000
ENSMUSG00000042115.4	0.0002573586	0.0002969295	0.0009069175	0.0000335720	0.0014252317	0.0001223976	0.0001073605	0.0001594103	0.0018232899	0.0031494120	2.0000000000	11874.0000000000	4055.0000000000
ENSMUSG00000009772.15	0.0075411173	0.0093677151	0.0296961875	0.0010542213	0.0449341475	0.0038590331	0.0033866458	0.0050364048	0.0575479530	0.0998066320	4.0000000000	15917.5000000000	2683.2500000000
ENSMUSG00000100658.1	0.0047970861	0.0008620885	0.0373797687	0.0917638460	0.0021226262	0.0031461498	0.0898765658	0.0012922844	0.0072210356	0.0600211612	7.0000000000	9441.5712890625	2606.5715332031
ENSMUSG00000042066.15	0.0144323094	0.0242245709	0.0872039099	0.0124133393	0.0009358833	0.0179957612	0.0022075117	0.0032493891	0.0048714053	0.3539431028	6.0000000000	15038.6669921875	4268.8334960938
ENSMUSG00000090079.1	0.0586383815	0.0322809289	0.1147531167	0.0167037106	0.0012424103	0.0201917050	0.0129128229	0.0050941955	0.0255079777	0.4886435258	5.0000000000	12254.0000000000	4706.6000976562
ENSMUSG00000042046.15	0.0105222707	0.0032051659	0.0355131905	0.0032200067	0.0002314407	0.0004799642	0.0005391847	0.0044904434	0.0010312027	0.0771697763	6.0000000000	12609.6669921875	963.6666870117
ENSMUSG00000097760.2	0.0001154613	0.0316297090	0.0006780464	0.0000749269	0.0000245886	0.0000778758	0.0000120492	0.0000410305	0.0000706069	0.0000629632	1.0000000000	0.0000000000	1632.0000000000
ENSMUSG00000026439.14	0.0001154613	0.0316297090	0.0006780464	0.0000749269	0.0000245886	0.0000778758	0.0000120492	0.0000410305	0.0000706069	0.0000629632	1.0000000000	0.0000000000	1632.0000000000
ENSMUSG00000053024.14	0.0000037697	0.0000010741	0.0000543567	0.0000022608	0.0000054386	0.0000001425	0.0000019270	0.0000006759	0.0015143955	0.0038016173	1.0000000000	14248.0000000000	667.0000000000
ENSMUSG00000026442.14	0.0007298139	0.0000560389	0.0000326380	0.0000176476	0.0000041243	0.0000179279	0.0001390405	0.0000020978	0.0003710849	0.0000041773	1.0000000000	17170.0000000000	1517.0000000000
ENSMUSG00000101126.1	0.0000079710	0.0000066706	0.0005591783	0.0000201636	0.0000013525	0.0000011629	0.0000232630	0.0000005227	0.0007709490	0.0000011764	1.0000000000	22596.0000000000	1284.0000000000
ENSMUSG00000026443.3	0.0011952377	0.0000621074	0.0020804812	0.0019427272	0.0000724924	0.0004330635	0.0198175953	0.0000263405	0.0007471310	0.0002163170	2.0000000000	6286.5000000000	1080.0000000000
ENSMUSG00000106377.1	0.0002364254	0.0000008269	0.0000000311	0.0000002533	0.0000053556	0.0000000960	0.0000003059	0.0000006963	0.0000000024	0.0000034245	1.0000000000	13266.0000000000	394.0000000000
ENSMUSG00000102709.1	0.0006891320	0.0000024101	0.0000000907	0.0000007385	0.0000156105	0.0000002798	0.0000008915	0.0000020296	0.0000000070	0.0000099818	1.0000000000	7917.0000000000	394.0000000000
ENSMUSG00000054387.13	0.0027518552	0.0017941306	0.0114460475	0.0019824305	0.0000435126	0.0002067574	0.0017560096	0.0001903725	0.0015465918	0.0263988179	5.0000000000	8092.6000976562	2541.0000000000
ENSMUSG00000100228.1	0.0012721378	0.0015568180	0.0260471990	0.0011495258	0.0000382100	0.0002759859	0.0007679161	0.0001348319	0.0006114860	0.0102848852	5.0000000000	10957.4003906250	2541.0000000000
ENSMUSG00000026447.16	0.0499670984	0.0077652528	0.0071449113	0.0345080652	0.0003423148	0.0022807912	0.0335540661	0.0016947829	0.0355718523	0.1565851146	8.0000000000	12101.6250000000	2732.3750000000
ENSMUSG00000101102.1	0.0237018150	0.0183251525	0.0330782996	0.0088280743	0.0009049237	0.0037274361	0.0174905531	0.0022192802	0.0144109182	0.3937017942	8.0000000000	10239.8750000000	3655.7500000000
ENSMUSG00000102425.1	0.0190395648	0.0327449235	0.0330493310	0.0286054398	0.0003750994	0.0146698064	0.0408861774	0.0028277643	0.0197197333	0.2723105377	5.0000000000	6974.7998046875	2487.0000000000
ENSMUSG00000046062.5	0.0191861592	0.0328278824	0.0328962260	0.0294987842	0.0003761168	0.0147235135	0.0425575614	0.0028618441	0.0202711907	0.2743198824	5.0000000000	6974.7998046875	2487.0000000000
ENSMUSG00000041757.15	0.0571535805	0.0007849537	0.0095209266	0.0010053990	0.0001981262	0.0038761468	0.0139078423	0.0001018716	0.0184513329	0.1600677900	10.0000000000	12243.7998046875	854.7999877930
ENSMUSG00000101693.1	0.0000737191	0.0003823979	0.0001133234	0.0009783609	0.0001560960	0.0000733013	0.0003174467	0.0000562486	0.0001500354	0.0087255823	2.0000000000	18359.5000000000	4022.5000000000
ENSMUSG00000103421.1	0.0019563810	0.0000101651	0.0000940083	0.0000872306	0.0000656446	0.0001019496	0.0004108939	0.0000016856	0.0000023338	0.0053940482	2.0000000000	11608.0000000000	806.0000000000
ENSMUSG00000102367.6	0.0019458450	0.0000101104	0.0000935020	0.0000867608	0.0000652911	0.0001014005	0.0004086811	0.0000016765	0.0000023212	0.0053649988	2.0000000000	11635.0000000000	806.0000000000
ENSMUSG00000098306.8	0.0019458450	0.0000101104	0.0000935020	0.0000867608	0.0000652911	0.0001014005	0.0004086811	0.0000016765	0.0000023212	0.0053649988	2.0000000000	11635.0000000000	806.0000000000
ENSMUSG00000070645.5	0.0000039329	0.0000000730	0.0000002684	0.0000000292	0.0000002195	0.0000000017	0.0000001643	0.0000000453	0.0000331081	0.0000044158	1.0000000000	13228.0000000000	321.0000000000
ENSMUSG00000070644.13	0.0000546096	0.0000010127	0.0000037033	0.0000004420	0.0000035476	0.0000005584	0.0000024074	0.0002257028	0.0005886746	0.0000608190	2.0000000000	11174.0000000000	302.0000000000
ENSMUSG00000070643.11	0.0770719838	0.0036371691	0.0111424887	0.0042195822	0.0153240255	0.0273670711	0.0013503594	0.0247427969	0.0031476876	0.1701695330	6.0000000000	12885.6669921875	2736.1667480469
ENSMUSG00000102976.5	0.0002966786	0.0041682562	0.0003401367	0.0000190533	0.0001830328	0.0018613559	0.0000742024	0.0000734452	0.0068406553	0.0004557945	2.0000000000	11865.5000000000	2064.0000000000
ENSMUSG00000094410.7	0.0002966183	0.0041669393	0.0003399199	0.0000190207	0.0001830307	0.0018613225	0.0000741833	0.0000734242	0.0068397914	0.0004522728	2.0000000000	11896.5000000000	2064.0000000000
ENSMUSG00000102049.1	0.0002962169	0.0041581834	0.0003384786	0.0000188040	0.0001830169	0.0018611008	0.0000740561	0.0000732847	0.0068340480	0.0004288583	2.0000000000	12113.0000000000	2064.0000000000
ENSMUSG00000051998.14	0.0022753784	0.0072379339	0.0016214014	0.0011792306	0.0015337065	0.0027207035	0.0011068199	0.0006995178	0.0046924428	0.0508853724	5.0000000000	2913.0000000000	962.4000244141
ENSMUSG00000026463.17	0.0142128626	0.0066574222	0.0005643165	0.0147807443	0.0087568294	0.0001230081	0.0023241331	0.0000471787	0.0000322787	0.0534992173	2.0000000000	1178.5000000000	1066.5000000000
ENSMUSG00000098606.1	0.0000107405	0.0000573570	0.0000085076	0.0000220637	0.0000299064	0.0000000419	0.0000018184	0.0000011652	0.0000287382	0.0014958990	2.0000000000	16813.5000000000	573.0000000000
ENSMUSG00000102509.1	0.0005231469	0.0001521371	0.0000239230	0.0004546328	0.0001224240	0.0000413472	0.0000723024	0.0000043765	0.0000173054	0.0050588249	5.0000000000	16663.8007812500	694.5999755859
ENSMUSG00000100830.1	0.0000102490	0.0000001142	0.0000001185	0.0000002081	0.0000006395	0.0000000002	0.0000000079	0.0000001130	0.0000000989	0.0006192184	1.0000000000	19848.0000000000	358.0000000000
ENSMUSG00000010311.15	0.0133814000	0.0057306599	0.0146544457	0.0244524266	0.0010256125	0.0020844536	0.0256637072	0.0046736191	0.0202290984	0.1420678609	10.0000000000	11146.5996093750	1927.6999511719
ENSMUSG00000090208.1	0.0123817269	0.0045593072	0.0189630192	0.0214201503	0.0008094173	0.0016000061	0.0234519650	0.0035250942	0.0172565948	0.1279333252	9.0000000000	9814.7773437500	1784.3333740234
ENSMUSG00000041577.5	0.0404658323	0.0224679530	0.0037504047	0.0186279780	0.0043155532	0.0060027901	0.0166668881	0.0202511918	0.0821569199	0.1361846363	9.0000000000	11840.0000000000	1868.2221679688
ENSMUSG00000100987.1	0.0069018703	0.0013727413	0.0114936833	0.0016858355	0.0040863420	0.0238314019	0.0006739664	0.0028934247	0.0005713018	0.0762151976	7.0000000000	6595.2856445312	1054.5714111328
ENSMUSG00000099507.1	0.0016558749	0.0008989820	0.0006886889	0.0017363318	0.0017446127	0.0004124334	0.0002750442	0.0005846735	0.0033563848	0.0119876801	6.0000000000	12372.5000000000	3036.6667480469
ENSMUSG00000041559.7	0.0035726552	0.0018978847	0.0014842706	0.0037680194	0.0037868827	0.0008865631	0.0005924718	0.0012632756	0.0072690224	0.0260250908	6.0000000000	8536.1669921875	3036.6667480469
ENSMUSG00000020423.6	0.0261000588	0.0328237051	0.0172246115	0.0175968906	0.0067799468	0.0155441613	0.0141958575	0.0101533262	0.0880575182	0.4218186539	8.0000000000	8710.6250000000	5563.3750000000
